"Country_ID","Country","renewable_percent_2017","energy_supply_petajoules","energy_supply_per_capita_gigajoules","contribution_renewable_to_electric_production","energy_intensity_2017","energy_supply_per_capita_2017","energy_supply_2017","mining_value_2017"
4,"Afghanistan","84.70",123,3,"84.70",35.33,"3","123",0.96
8,"Albania","100.00",100,34,"100.00",59.08,"34","100",2.74
12,"Algeria","0.84",2289,55,"0.84",62.39,"55","2289",21.35
20,"Andorra","83.96",9,117,"83.96",NA,"117","9",NA
24,"Angola","71.40",618,21,"71.40",78.42,"21","618",21.58
660,"Anguilla","0.00",2,136,"0.00",NA,"136","2",0.38
28,"Antigua and Barbuda","2.55",7,69,"2.55",62.15,"69","7",1.03
32,"Argentina","29.03",3385,76,"29.03",76.67,"76","3385",3.5
51,"Armenia","29.28",137,47,"29.28",105.83,"47","137",3.64
533,"Aruba","14.11",13,123,"14.11",106.89,"123","13",NA
36,"Australia","14.32",5353,219,"14.32",99.41,"219","5353",8.8
40,"Austria","70.25",1404,161,"70.25",65.25,"161","1404",0.33
31,"Azerbaijan","7.42",602,61,"7.42",109.79,"61","602",36.79
44,"Bahamas","0.00",29,72,"0.00",46.2,"72","29",0.28
48,"Bahrain","0.03",580,389,"0.03",181.36,"389","580",13.51
50,"Bangladesh","1.67",1925,12,"1.67",57.85,"12","1925",1.83
52,"Barbados","2.80",16,55,"2.80",67.8,"55","16",0.27
112,"Belarus","1.71",1081,114,"1.71",158.15,"114","1081",0.79
56,"Belgium","13.53",2301,201,"13.53",93.81,"201","2301",0.06
84,"Belize","48.74",16,43,"48.74",87,"43","16",0.36
204,"Benin","1.81",213,19,"1.81",140.16,"19","213",0.63
60,"Bermuda","0.00",9,151,"0.00",39.25,"151","9",NA
64,"Bhutan","99.99",67,83,"99.99",245.36,"83","67",4.44
68,"Bolivia (Plurinational State of)","23.13",371,34,"23.13",85.83,"34","371",12.43
70,"Bosnia and Herzegovina","24.38",278,79,"24.38",120.43,"79","278",2.28
72,"Botswana","0.07",99,43,"0.07",59.51,"43","99",19.09
76,"Brazil","70.24",12900,62,"70.24",66.78,"62","12900",1.94
92,"British Virgin Islands","0.67",2,77,"0.67",NA,"77","2",0.08
96,"Brunei Darussalam","0.05",153,356,"0.05",67.85,"356","153",42.87
100,"Bulgaria","14.11",781,110,"14.11",133.98,"110","781",2.21
854,"Burkina Faso","12.51",185,10,"12.51",104.83,"10","185",10.75
108,"Burundi","54.35",63,6,"54.35",211.38,"6","63",0.52
132,"Cabo Verde","16.87",10,18,"16.87",51.4,"18","10",0.35
116,"Cambodia","39.13",339,21,"39.13",105.83,"21","339",1.77
120,"Cameroon","51.31",388,16,"51.31",92.02,"16","388",3.97
124,"Canada","64.59",12088,330,"64.59",140.94,"330","12088",5.72
136,"Cayman Islands","0.00",8,135,"0.00",44.61,"135","8",0.25
140,"Central African Republic","99.35",23,5,"99.35",115.51,"5","23",2.46
148,"Chad","0.00",85,6,"0.00",72.77,"6","85",6.79
152,"Chile","36.28",1603,89,"36.28",71.3,"89","1603",10.58
156,"China","24.39",123598,88,"24.39",146.83,"88","123598",5.01
344,"China, Hong Kong Special Administrative Region","0.00",587,80,"0.00",32.49,"80","587",NA
446,"China, Macao Special Administrative Region","0.00",48,78,"0.00",13.31,"78","48",NA
170,"Colombia","76.52",1677,34,"76.52",46.77,"34","1677",5.68
174,"Comoros","0.00",6,8,"0.00",75.93,"8","6",1.19
178,"Congo","44.23",124,24,"44.23",54.36,"24","124",26.44
184,"Cook Islands","10.81",1,56,"10.81",NA,"56","1",NA
188,"Costa Rica","98.05",212,43,"98.05",54.56,"43","212",0.3
384,"Cote d'Ivoire","20.23",458,19,"20.23",128.5,"19","458",6.61
191,"Croatia","56.66",364,87,"56.66",75.87,"87","364",0.39
192,"Cuba","0.80",404,35,"0.80",44.64,"35","404",0.52
531,"Curaçao","38.61",76,473,"38.61",NA,"473","76",NA
196,"Cyprus","7.65",94,79,"7.65",62.86,"79","94",0.07
203,"Czechia","6.81",1818,171,"6.81",113.34,"171","1818",0.73
180,"Democratic Republic of the Congo","99.71",1246,15,"99.71",357.98,"15","1246",18.16
208,"Denmark","50.09",720,126,"50.09",54.03,"126","720",1.14
262,"Djibouti","0.00",9,9,"0.00",75.53,"9","9",0.34
212,"Dominica","20.77",2,33,"20.77",57.34,"33","2",1.29
214,"Dominican Republic","14.32",344,32,"14.32",55.46,"32","344",2.03
218,"Ecuador","72.05",615,37,"72.05",59.65,"37","615",5.17
818,"Egypt","8.02",4012,41,"8.02",64.04,"41","4012",9.59
222,"El Salvador","61.31",175,27,"61.31",80.43,"27","175",0.29
226,"Equatorial Guinea","23.53",49,39,"23.53",40.38,"39","49",24.61
232,"Eritrea","0.94",37,11,"0.94",81.8,"11","37",0.07
231,"Ethiopia","99.68",1534,15,"28.26",387.21,"15","1534",0.28
233,"Estonia","5.80",243,185,"99.68",123.71,"185","243",1.21
748,"Eswatini","28.26",44,39,"5.80",92.52,"39","44",0.18
234,"Faeroe Islands","51.20",10,210,"51.20",NA,"210","10",NA
238,"Falkland Is. (Malvinas)","25.00",1,183,"25.00",NA,"183","1",NA
242,"Fiji","48.91",34,38,"48.91",65.06,"38","34",0.86
246,"Finland","29.64",1385,251,"29.64",119.77,"251","1385",0.48
251,"France","16.14",10278,153,"16.14",78.44,"153","10278",0.09
255,"French Guiana","...",NA,NA,NA,NA,"...","...",NA
258,"French Polynesia","37.07",11,40,"37.07",NA,"40","11",NA
266,"Gabon","39.23",109,54,"39.23",99.57,"54","109",34.63
270,"Gambia","0.00",14,7,"0.00",80.03,"7","14",0.5
268,"Georgia","80.63",204,52,"80.63",99.62,"52","204",1.19
276,"Germany","26.48",12999,158,"26.48",70.93,"158","12999",0.15
288,"Ghana","39.61",315,11,"39.61",75.67,"11","315",10.88
292,"Gibraltar","0.00",11,309,"0.00",NA,"309","11",NA
300,"Greece","24.55",966,87,"24.55",65.15,"87","966",0.51
304,"Greenland","74.90",9,156,"74.90",NA,"156","9",0.41
308,"Grenada","0.00",4,40,"0.00",53.3,"40","4",0.24
313,"Guadeloupe","...",NA,NA,NA,NA,NA,"...",NA
316,"Guam","3.01",NA,NA,NA,NA,NA,NA,NA
320,"Guatemala","52.61",530,31,"52.61",71.64,"31","530",1.2
831,"Guernsey","0.00",1,18,"0.00",NA,"18","1",NA
324,"Guinea","24.42",156,12,"24.42",146.21,"12","156",17.45
624,"Guinea-Bissau","0.00",31,17,"0.00",222.82,"17","31",0.04
328,"Guyana","0.18",37,47,"0.18",133.14,"47","37",20.19
332,"Haiti","12.12",188,17,"12.12",152.73,"17","188",0.18
340,"Honduras","50.11",252,27,"50.11",104.84,"27","252",0.72
348,"Hungary","4.29",1115,115,"4.29",83,"115","1115",0.19
352,"Iceland","99.99",327,977,"99.99",258.73,"977","327",0.15
356,"India","15.73",38083,28,"15.73",96.61,"28","38083",2.27
360,"Indonesia","11.24",9959,38,"11.24",74.41,"38","9959",7.88
364,"Iran (Islamic Republic of)","5.02",10987,135,"5.02",112.69,"135","10987",13.93
368,"Iraq","2.59",2521,66,"2.59",66.76,"66","2521",38.95
372,"Ireland","27.05",574,121,"27.05",50.38,"121","574",0.26
376,"Israel","2.86",965,116,"2.86",71.3,"116","965",NA
382,"Italy","29.41",6437,108,"29.41",56.75,"108","6437",0.27
388,"Jamaica","11.17",111,38,"11.17",98.82,"38","111",2.68
392,"Japan","16.34",18116,142,"16.34",75.9,"142","18116",0.06
832,"Jersey","0.00",3,29,"0.00",NA,"29","3",NA
400,"Jordan","5.19",384,40,"5.19",83.36,"40","384",2.06
398,"Kazakhstan","11.29",3335,183,"11.29",151.45,"183","3335",14.5
404,"Kenya","74.97",932,19,"74.97",138.66,"19","932",0.8
296,"Kiribati","16.13",1,12,"16.13",114.42,"12","1",0.41
408,"Democratic People's Republic of Korea","78.48",307,12,"78.48",99.06,"12","307",11.74
410,"Republic of Korea","3.23",11821,232,"3.23",120.25,"232","11821",0.14
412,"Kosovo","3.04",108,59,"3.04",NA,"59","108",2.85
414,"Kuwait","0.00",1584,383,"0.00",89.83,"383","1584",37.67
417,"Kyrgyzstan","91.55",162,27,"91.55",150.73,"27","162",1.07
418,"Lao People's Democratic Republic","62.97",237,35,"62.97",68.33,"35","237",7.4
428,"Latvia","60.16",185,95,"60.16",80.52,"95","185",0.51
422,"Lebanon","1.95",369,54,"1.95",72.09,"54","369",0.39
426,"Lesotho","99.80",48,21,"99.80",198.16,"21","48",9.58
430,"Liberia","9.15",97,21,"9.15",448.57,"21","97",1.96
434,"Libya","0.02",555,87,"0.02",95.96,"87","555",60.58
438,"Liechtenstein","97.85",3,89,"97.85",NA,"89","3",0.14
440,"Lithuania","68.38",313,108,"68.38",92.81,"108","313",0.3
442,"Luxembourg","79.01",160,274,"79.01",63.89,"274","160",0.07
450,"Madagascar","40.03",322,13,"40.03",88.14,"13","322",3.6
454,"Malawi","90.86",84,5,"90.86",94.45,"5","84",0.98
458,"Malaysia","16.36",3482,110,"16.36",90.78,"110","3482",8.97
462,"Maldives","2.44",22,43,"2.44",49.88,"43","22",NA
466,"Mali","56.14",96,5,"56.14",48.88,"5","96",0.53
470,"Malta","9.42",29,66,"9.42",49.32,"66","29",NA
584,"Marshall Islands","2.25",2,43,"2.25",189.43,"43","2",NA
475,"Martinique","...",NA,NA,NA,NA,"...","...",NA
478,"Mauritania","21.11",73,17,"21.11",63.13,"17","73",10.91
480,"Mauritius","4.60",69,55,"4.60",49.57,"55","69",0.24
176,"Mayotte","...",NA,NA,NA,NA,"...","...",NA
484,"Mexico","15.36",7622,59,"15.36",69.34,"59","7622",4.36
583,"Micronesia (Federated States of)","2.90",2,20,"2.90",99.14,"20","2",NA
496,"Mongolia","0.00",395,128,"0.00",130.6,"128","395",25.78
499,"Montenegro","45.71",43,68,"45.71",61.24,"68","43",1.69
500,"Montserrat","0.00",0,72,"0.00",NA,"72","0",1.99
504,"Morocco","19.03",869,24,"19.03",57.95,"24","869",2.6
508,"Mozambique","82.76",452,15,"82.76",359.99,"15","452",12.65
104,"Myanmar","56.10",854,16,"56.10",80.3,"16","854",4.78
516,"Namibia","96.02",82,32,"96.02",62.39,"32","82",12.72
520,"Nauru","2.78",1,55,"2.78",191.25,"55","1",8.15
524,"Nepal","100.00",571,19,"100.00",142.02,"19","571",0.58
528,"Netherlands","11.05",3085,181,"11.05",76.22,"181","3085",1.45
540,"New Caledonia","13.44",68,246,"13.44",NA,"246","68",NA
554,"New Zealand","79.97",955,203,"79.97",95.41,"203","955",1.09
558,"Nicaragua","41.28",167,27,"41.28",95.06,"27","167",2.54
562,"Niger","2.65",85,4,"2.65",116.41,"4","85",9
566,"Nigeria","17.22",6568,34,"17.22",127.61,"34","6568",9.22
570,"Niue","0.00",0,60,"0.00",NA,"60","0",NA
807,"North Macedonia","23.14",119,57,"23.14",93.85,"57","119",1.8
579,"Norway","97.84",1235,233,"97.84",66.19,"233","1235",16.84
512,"Oman","0.00",1102,238,"0.00",87.37,"238","1102",35.28
586,"Pakistan","27.69",4280,22,"27.69",84.09,"22","4280",2.15
585,"Palau","0.00",3,182,"0.00",194.3,"182","3",0.61
591,"Panama","71.58",197,48,"71.58",46.88,"48","197",2.1
598,"Papua New Guinea","28.70",168,20,"28.70",115.5,"20","168",18.57
600,"Paraguay","100.00",288,42,"100.00",77.1,"42","288",0.37
604,"Peru","57.79",960,30,"57.79",45.56,"30","960",10.24
608,"Philippines","23.18",2321,22,"23.18",62.5,"22","2321",0.85
616,"Poland","10.66",4384,115,"10.66",90.84,"115","4384",1.85
620,"Portugal","35.48",951,92,"35.48",61.21,"92","951",0.36
630,"Puerto Rico","2.23",50,16,"2.23",4.51,"16","50",0.02
634,"Qatar","0.00",1798,681,"0.00",111.4,"681","1798",30.95
498,"Republic of Moldova","73.57",114,28,"73.57",192.59,"28","114",0.25
639,"Reunion","...",NA,NA,NA,NA,NA,"...",NA
642,"Romania","37.50",1401,71,"37.50",78.81,"71","1401",0.72
643,"Russian Federation","17.20",31182,217,"17.20",161.86,"217","31182",9.55
646,"Rwanda","49.28",99,8,"49.28",107.53,"8","99",2.53
882,"Samoa","33.78",5,25,"33.78",65.64,"25","5",NA
678,"Sao Tome and Principe","7.78",3,14,"7.78",91.01,"14","3",0.31
682,"Saudi Arabia","0.00",8946,272,"0.00",90.64,"272","8946",25.4
686,"Senegal","2.96",168,11,"2.96",89.94,"11","168",3.04
688,"Serbia","26.49",647,93,"26.49",134.33,"93","647",2.56
891,"Serbia and Montenegro","...",NA,NA,NA,NA,NA,NA,NA
690,"Seychelles","1.95",8,86,"1.95",77.58,"86","8",NA
694,"Sierra Leone","72.28",68,9,"72.28",150.94,"9","68",2.06
702,"Singapore","0.32",1166,204,"0.32",56.2,"204","1166",NA
703,"Slovakia","19.07",717,132,"19.07",106.96,"132","717",0.42
705,"Slovenia","27.14",289,139,"27.14",90.39,"139","289",0.37
90,"Solomon Islands","0.94",7,12,"0.94",106.39,"12","7",0.36
706,"Somalia","0.00",148,10,"0.00",NA,"10","148",0.52
710,"South Africa","5.39",5910,104,"5.39",161.42,"104","5910",8.23
728,"South Sudan","0.55",28,3,"0.55",7.55,"3","28",38.95
724,"Spain","30.71",5227,113,"30.71",64.02,"113","5227",0.19
144,"Sri Lanka","30.81",461,22,"30.81",44.59,"22","461",2.88
654,"St. Helena and Depend.","27.27",0,26,"27.27",NA,"26","0",NA
659,"Saint Kitts and Nevis","5.07",3,63,"5.07",49.68,"63","3",0.13
662,"Saint Lucia","0.00",5,29,"0.00",47.78,"29","5",0.7
666,"St. Pierre-Miquelon","0.00",1,171,"0.00",NA,"171","1",NA
670,"Saint Vincent and the Grenadines","10.46",4,35,"10.46",53.32,"35","4",0.22
275,"State of Palestine","8.24",78,16,"8.24",57.45,"16","78",0.33
729,"Sudan","59.69",532,13,"59.69",92.6,"13","532",2.44
740,"Suriname","43.93",40,71,"43.93",66.04,"71","40",8.19
752,"Sweden","50.54",2033,205,"50.54",91.38,"205","2033",0.62
757,"Switzerland","61.58",988,116,"61.58",44.17,"116","988",0.11
760,"Syrian Arab Republic","4.14",374,20,"4.14",133.95,"20","374",21.54
762,"Tajikistan","94.43",187,21,"94.43",125.04,"21","187",NA
764,"Thailand","8.14",5777,84,"8.14",91.81,"84","5777",2.51
626,"Timor-Leste","0.00",8,6,"0.00",10.4,"6","8",35.68
768,"Togo","29.71",154,20,"29.71",252.91,"20","154",2.08
776,"Tonga","6.45",2,20,"6.45",55.66,"20","2",0.69
780,"Trinidad and Tobago","0.04",703,514,"0.04",325.34,"514","703",12.45
788,"Tunisia","4.04",473,41,"4.04",66.26,"41","473",3.43
792,"Turkey","28.92",6138,76,"28.92",55.93,"76","6138",1.01
795,"Turkmenistan","0.00",1158,201,"0.00",358.2,"201","1158",NA
796,"Turks and Caicos Islands","0.84",3,91,"0.84",NA,"91","3",0.35
798,"Tuvalu","33.33",NA,NA,NA,64.2,"13",NA,0.07
800,"Uganda","89.83",693,16,"89.83",186.53,"16","693",0.62
804,"Ukraine","7.88",3739,85,"7.88",272.2,"85","3739",7.03
784,"United Arab Emirates","0.59",3042,324,"0.59",82.96,"324","3042",20.99
826,"United Kingdom of Great Britain and Northern Ireland","20.79",7353,111,"20.79",64.81,"111","7353",1.09
834,"United Republic of Tanzania","29.69",855,15,"29.69",166.42,"15","855",NA
840,"United States of America","15.81",90228,278,"15.81",106.43,"278","90228",1.47
858,"Uruguay","80.43",217,63,"80.43",50.74,"63","217",0.46
860,"Uzbekistan","13.81",1880,59,"13.81",350.85,"59","1880",3.84
548,"Vanuatu","21.92",3,11,"21.92",63.85,"11","3",0.03
862,"Venezuela (Bolivarian Republic of)","53.50",2064,65,"53.50",100.36,"65","2064",12.71
704,"Viet Nam","44.91",2980,31,"44.91",101.12,"31","2980",8.3
876,"Wallis and Futuna Is.","0.00",NA,NA,NA,NA,"30",NA,NA
887,"Yemen","13.77",142,5,"13.77",52.47,"5","142",3.25
894,"Zambia","85.99",501,29,"85.99",159.72,"29","501",16.95
716,"Zimbabwe","52.61",474,33,"52.61",292.93,"33","474",6.36
833,"Isle of Man",NA,4,53,"…",NA,"53","4",NA
534,"Sint Maarten (Dutch part)",NA,12,292,"…",45.44,"292","12",NA
1001,"China: Taiwan, Province of China",NA,NA,NA,NA,NA,NA,NA,0.06
1002,"United Republic of Tanzania: Mainland",NA,NA,NA,NA,NA,NA,NA,4.78
1003,"United Republic of Tanzania: Zanzibar",NA,NA,NA,NA,NA,NA,NA,1.24
