"Country_ID","Country","protected_areas_marine_terrestrial_latest_year","protected_areas_marine_terrestrial","protected_areas_marine_latest_year","protected_areas_marine","forest_area_2015","forest_area_2020","forest_total_land_area_2020","Basel_Convention","CITES","Convention_on_Biological_Diversity","Convention_on_Migratory_Species","Kyoto__Protocol","Montreal_Protocol","Paris_Agreement","Ramsar_Convention","Rotterdam_Convention","Stockholm_Convention","UN_Convention_on_the_Law_of_the_Sea","UN_Convention_to_Combat_Desertification","UN_Framework_Convention_on_Climate_Change","World__Heritage_Convention"
4,"Afghanistan",2018,0.1,NA,NA,"1208.44",1208.44,65286,"2013","1985","2002","2015","2013",2004,"2017","...","2013","2013","...",1995,2002,"1979"
8,"Albania",2018,13.5,2018,2.7,"789.19",788.9,2740,"1999","2003","1994","2001","2005",1999,"2016","1996","2010 ","2004","2003",2000,1994,"1989"
12,"Algeria",2018,7.1,2018,0.1,"1956",1949,238174,"1998","1983","1995","2005","2005",1992,"2016","1984","...","2006","1996",1996,1993,"1974"
16,"American Samoa",2018,8.7,2018,8.7,"17.28",17.13,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,"Andorra",2018,26.7,NA,NA,"16",16,47,"1999","…","2015","...","...",2009,"2017","2012","...","...","...",2002,2011,"1997"
24,"Angola",2018,5,2018,0,"69382.69",66607.38,124670,"2017","2013","1998","2006","2007",2000,"...","...","...","2006","1990",1997,2000,"1991"
28,"Antigua and Barbuda",2018,0.3,2018,0.2,"8.45",8.12,44,"1993","1997","1993","2007","1998",1992,"2016","2005","2010","2003","1989",1997,1993,"1983"
32,"Argentina",2018,7.4,2018,3.8,"29097",28573,273669,"1991","1981","1995","1992","2005",1990,"2016","1992","2004","2005","1995",1997,1994,"1978"
51,"Armenia",2018,23.1,NA,NA,"329.52",328.47,2847,"1999","2008","1993","2011","2003",1999,"2017","1993","2003","2003","2002",1997,1993,"1993"
533,"Aruba",2018,0.1,2018,0,"0.42",0.42,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"Australia",2018,29.7,2018,40.6,"133094.5",134005.1,768230,"1992","1976","1993","1991","2007",1989,"2016","1975","2004","2004","1994",2000,1992,"1974"
40,"Austria",2018,28.4,NA,NA,"3881.19",3899.15,8252,"1993","1982","1994","2005","2002",1989,"2016","1983","2002","2002","1995",1997,1994,"1992"
31,"Azerbaijan",2018,5.5,2018,0.4,"1077.89",1131.77,8266,"2001","1998","2000","...","2000",1996,"2017","2001","...","2004","2016",1998,1995,"1993"
44,"Bahamas",2018,8.6,2018,7.9,"509.86",509.86,1001,"1992","1979","1993","...","1999",1993,"2016","1997","...","2005","1983",2000,1994,"2014"
48,"Bahrain",2018,1.7,2018,1.2,"0.6",0.7,77,"1992","2012","1996","...","2006",1990,"2016","1998","2012","2006","1985",1997,1994,"1991"
50,"Bangladesh",2018,4.9,2018,5.4,"1883.4",1883.4,13017,"1993","1981","1994","2005","2001",1990,"2016","1992","...","2007","2001",1996,1994,"1983"
52,"Barbados",2018,0,2018,0,"6.3",6.3,43,"1995","1992","1994","...","2000",1992,"2016","2006","...","2004","1993",1997,1994,"2002"
112,"Belarus",2018,9.4,NA,NA,"8633.5",8767.6,20297.8,"1999","1995","1993","2003","2005",1988,"2016","1991","...","2004","2006",2001,2000,"1988"
56,"Belgium",2018,24.6,2018,36.7,"689.3",689.3,3028,"1993","1983","1997","1990","2002",1988,"2017","1986","2002","2006","1998",1997,1996,"1996"
84,"Belize",2018,20.6,2018,10.1,"1332.83",1277.05,2281,"1997","1986","1994","...","2003",1998,"2016","1998","2005","2010","1983",1998,1994,"1990"
204,"Benin",2018,23.5,2018,0,"3385.15",3135.15,11276,"1997","1984","1994","1986","2002",1993,"2016","2000","2004","2004","1997",1996,1994,"1982"
60,"Bermuda",2018,0,2018,0,"1",1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,"Bhutan",2018,48,NA,NA,"2715.18",2725.08,3812,"2002","2002","1995","...","2002",2004,"2017","2012","...","...","...",2003,1995,"2001"
68,"Bolivia (Plurinational State of)",2018,30.9,NA,NA,"52027.22",50833.76,108330,"1996","1979","1995","2003","1999",1994,"2016","1990","2003","2003","1995",1996,1994,"1976"
70,"Bosnia and Herzegovina",2018,1.4,2018,0,"2160.5",2187.91,5120,"2001","2009","2002","2017","2007",1993,"2017","1992","2007","2010","1994",2002,2000,"1993"
72,"Botswana",2018,29.1,NA,NA,"15846.2",15254.7,56673,"1998","1977","1996","...","2003",1991,"2016","1997","2008","2002","1990",1996,1994,"1998"
76,"Brazil",2018,28.6,2018,26.6,"503884.8",496619.6,835814,"1992","1975","1994","2015","2002",1990,"2016","1993","2004","2004","1988",1997,1994,"1977"
92,"British Virgin Islands",2018,0,2018,0,"3.62",3.62,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,"Brunei Darussalam",2018,9,2018,0.2,"380",380,527,"2002","1990","2008","...","2009",1993,"2016","...","...","...","1996",2002,2007,"2011"
100,"Bulgaria",2018,28.3,2018,8.1,"3833",3893,10856,"1996","1991","1996","1999","2002",1990,"2016","1976","2000","2004","1996",2001,1995,"1974"
854,"Burkina Faso",2018,14.9,NA,NA,"6466.4",6216.4,27360,"1999","1989","1993","1990","2005",1989,"2016","1990","2002","2004","2005",1996,1993,"1987"
108,"Burundi",2018,7.6,NA,NA,"279.64",279.64,2568,"1997","1988","1997","2011","2001",1997,"...","2002","2004","2005","...",1997,1997,"1982"
132,"Cabo Verde",2018,0,2018,0,"44.22",45.72,403,"1999","2005","1995","2006","2006",2001,"2017","2005","2006","2006","1987",1995,1995,"1988"
116,"Cambodia",2018,20.6,2018,0.2,"8846.82",8068.37,17652,"2001","1997","1995","...","2002",2001,"2017","1999","2013","2006","...",1997,1995,"1991"
120,"Cameroon",2018,10.4,2018,3.4,"20620.48",20340.48,47271,"2001","1981","1995","1983","2002",1989,"2016","2006","2002","2009","1985",1997,1994,"1982"
124,"Canada",2018,6.5,2018,0.9,"347115.71",346928.1,909351,"1992","1975","1993","...","2002",1988,"2016","1981","2002","2001","2003",2016,1992,"1976"
136,"Cayman Islands",2018,0.1,2018,0.1,"12.72",12.72,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,"Central African Republic",2018,18.1,NA,NA,"22453",22303,62298,"2006","1980","1995","...","2008",1993,"2016","2006","...","2008","...",1996,1995,"1980"
148,"Chad",2018,20.4,NA,NA,"4890",4313,125920,"2004","1989","1994","1997","2009",1994,"2017","1990","2004","2004","2009",1996,1994,"1999"
152,"Chile",2018,27,2018,28.8,"17596.08",18210.7,74353,"1992","1975","1994","1983","2002",1990,"2017","1981","2005","2005","1997",1997,1994,"1980"
156,"China",2018,14.6,2018,5.4,"210294.25",219978.18,942470,"1991","1981","1993","...","2002",1991,"2016","1992","2005","2004","1996",1997,1993,"1985"
344,"China, Hong Kong Special Administrative Region",2018,48.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
170,"Colombia",2018,15.7,2018,17.1,"60134.66",59141.91,110950,"1996","1981","1995","...","2001",1993,"2018","1998","2008","2008","...",1999,1995,"1983"
174,"Comoros",2018,0.1,2018,0,"35.11",32.92,186,"1994","1994","1994","...","2008",1994,"2016","1995","...","2007","1994",1998,1994,"2000"
178,"Congo",2018,36.8,2018,3.2,"22015",21946,34150,"2007","1983","1996","2000","2007",1994,"2017","1998","2006","2007","2008",1999,1996,"1987"
188,"Costa Rica",2018,3,2018,0.8,"2953.03",3034.87,5106,"1995","1975","1994","2007","2002",1991,"2016","1992","2009","2007","1992",1998,1994,"1977"
384,"Côte d’Ivoire",2018,14.9,2018,0.1,"3401.15",2836.71,31800,"1994","1994","1995","2003","2007",1993,"2016","1996","2004","2004","1984",1997,1994,"1981"
191,"Croatia",2018,23.6,2018,8.5,"1922",1939.11,5596,"1994","2000","1997","2000","2007",1992,"2017","1991","2007","2007","1995",2000,1996,"1992"
192,"Cuba",2018,7.2,2018,4.3,"3184",3242,10402,"1994","1990","1994","2008","2002",1992,"2016","2001","2008","2007","1984",1997,1994,"1981"
531,"Curaçao",2018,0.3,2018,0,"0.07",0.07,44.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
196,"Cyprus",2018,1.7,2018,0.1,"172.71",172.53,924,"1992","1974","1996","2001","1999",1992,"2017","2001","2004","2005","1988",2000,1997,"1975"
203,"Czechia",2018,22.2,NA,NA,"2668.39",2677.09,7721,"1993","1993","1994","1994","2001",1993,"2017","1993","2000","2002","1996",2000,1993,"1993"
408,"Democratic People's Republic of Korea",2018,1.3,2018,0,"6136.24",6030.09,12041,"2008","...","1995","...","2005",1995,"2016","1998","2004","2002","...",2003,1994,"1998"
180,"Democratic Republic of the Congo",2018,13.8,2018,0.2,"131662.12",126155.24,226705,"1994","1976","1995","1990","2005",1994,"2017","1996","2005","2005","1989",1997,1995,"1974"
208,"Denmark",2018,17.9,2018,17.8,"624.68",628.44,4199,"1994","1977","1994","1983","2002",1988,"2016","1978","2004","2003","2004",1995,1993,"1979"
262,"Djibouti",2018,1.2,2018,0.2,"5.6",5.8,2318,"2002","1992","1994","2004","2002",1999,"2016","2003","2004","2004","1991",1997,1995,"2007"
212,"Dominica",2018,0.7,2018,0.1,"47.87",47.87,75,"1998","1995","1994","...","2005",1993,"2016","...","2005","2003","1991",1997,1993,"1995"
214,"Dominican Republic",2018,19.2,2018,18,"2103.65",2144.1,4831,"2000","1986","1997","2017","2002",1993,"2017","2002","2006","2007","2009",1997,1998,"1985"
218,"Ecuador",2018,15,2018,13.3,"12819.18",12497.83,24836,"1993","1975","1993","2004","2000",1990,"2017","1991","2004","2004","2012",1995,1993,"1975"
818,"Egypt",2018,11.6,2018,5,"48.42",44.98,99545,"1993","1978","1994","1983","2005",1988,"2017","1988","...","2003","1983",1995,1994,"1974"
222,"El Salvador",2018,2.2,2018,0.7,"606.38",583.88,2072,"1991","1987","1994","...","1998",1992,"2017","1999","1999","2008","...",1997,1995,"1991"
226,"Equatorial Guinea",2018,1.8,2018,0.2,"2490.22",2448.42,2805,"2003","1992","1995","2010","2000",2006,"2018","2003","2003","...","1997",1997,2000,"2010"
232,"Eritrea",2018,3,2018,0,"1071.06",1055.26,10100,"2005","1994","1996","2005","2005",2005,"...","...","2005","2005","...",1996,1995,"2001"
233,"Estonia",2018,19.5,2018,18.6,"2421.01",2438.4,4347,"1992","1992","1994","2008","2002",1996,"2016","1994","2006","2008","2005",2012,1994,"1995"
748,"Eswatini",2018,4.2,NA,NA,"491.5",497.56,1720,"2005","1997","1995","2013","2006",1992,"2016","2013","2012","2006","2012",1996,1996,"2005"
231,"Ethiopia",2018,18.5,NA,NA,"17433.5",17068.5,111971.55,"2000","1989","1994","2010","2005",1994,"2017","...","2003","2003","...",1997,1994,"1977"
234,"Faeroe Islands",2018,0,2018,0,"0.08",0.08,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
242,"Fiji",2018,1,2018,0.9,"1106.62",1140.02,1827,"...","1997","1993","2013","1998",1989,"2016","2006","...","2001","1982",1998,1993,"1990"
246,"Finland",2018,14.2,2018,10.5,"22409",22409,30391,"1991","1976","1994","1989","2002",1988,"2016","1975","2004","2002","1996",1995,1994,"1987"
250,"France",2018,33.2,2018,45,"16836",17253,54756,"1991","1978","1994","1990","2002",1988,"2016","1986","2004","2004","1996",1997,1994,"1975"
258,"French Polynesia",2018,0,2018,0,"149.46",149.46,366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
266,"Gabon",2018,25.1,2018,28.8,"23590",23530.6,25767,"2008","1989","1997","2008","2006",1994,"2016","1987","2003","2007","1998",1996,1998,"1986"
270,"Gambia",2018,1.4,2018,0.1,"271.34",242.67,1012,"1997","1977","1994","2001","2001",1990,"2016","1997","2002","2006","1984",1996,1994,"1987"
268,"Georgia",2018,6.4,2018,0.7,"2822.4",2822.4,6949,"1999","1996","1994","2000","1999",1996,"2017","1997","2007","2006","1996",1999,1994,"1992"
276,"Germany",2018,38.8,2018,45.4,"11419",11419,34886,"1995","1976","1994","1984","2002",1988,"2016","1976","2001","2002","1994",1996,1993,"1976"
288,"Ghana",2018,7.8,2018,0.1,"7880.44",7985.71,22754,"2003","1975","1994","1988","2003",1989,"2016","1988","2003","2003","1983",1996,1995,"1975"
292,"Gibraltar",2018,13.2,2018,12.8,"0",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
300,"Greece",2018,11,2018,4.5,"3901.8",3901.8,12890,"1994","1992","1994","1999","2002",1988,"2016","1975","2003","2006","1995",1997,1994,"1981"
304,"Greenland",2018,22.4,2018,4.5,"0.22",0.22,41045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
308,"Grenada",2018,0.2,2018,0.1,"17.7",17.7,34,"...","1999","1994","...","2002",1993,"2016","2012","...","...","1991",1997,1994,"1998"
316,"Guam",2018,0.1,2018,0,"25",28,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
320,"Guatemala",2018,10.1,2018,0.9,"3585.8",3527.8,10716,"1995","1979","1995","...","1999",1989,"2017","1990","2010","2008","1997",1998,1995,"1979"
324,"Guinea",2018,24.8,2018,0.5,"6389",6189,24572,"1995","1981","1993","1993","2000",1992,"2016","1993","2000","2007","1985",1997,1993,"1979"
624,"Guinea-Bissau",2018,11.6,2018,10,"2022.21",1980.01,2812,"2005","1990","1996","1995","2005",2002,"2018","1990","2008","2008","...",1995,1995,"2006"
328,"Guyana",2018,5.3,2018,0,"18461.36",18415.34,19685,"2001","1977","1994","...","2003",1993,"2016","...","2007","2007","1993",1997,1994,"1977"
332,"Haiti",2018,0.4,2018,0,"362.85",347.3,2756,"…","...","1996","...","2005",2000,"2017","...","...","...","1996",1996,1996,"1980"
340,"Honduras",2018,10.9,2018,4.2,"6463.83",6359.26,11189,"1995","1985","1995","2007","2000",1993,"2016","1993","2011","2005","1993",1997,1995,"1979"
348,"Hungary",2018,22.6,NA,NA,"2060.82",2053.01,9053,"1990","1985","1994","1983","2002",1989,"2016","1979","2000","2008","2002",1999,1994,"1985"
352,"Iceland",2018,2.5,2018,0.4,"48.16",51.35,10025,"1995","2000","1994","...","2002",1989,"2016","1978","...","2002","1985",1997,1993,"1995"
356,"India",2018,3.5,2018,0.2,"70828",72160,297319,"1992","1976","1994","1983","2002",1992,"2016","1982","2005","2006","1995",1996,1993,"1977"
360,"Indonesia",2018,5.3,2018,3.1,"95027.9",92133.2,187752,"1993","1978","1994","...","2004",1992,"2016","1992","2013","2009","1986",1998,1994,"1989"
364,"Iran (Islamic Republic of)",2018,7.7,2018,0.8,"10691.98",10751.87,162876,"1993","1976","1996","2008","2005",1990,"...","1975","2004","2006","...",1997,1996,"1975"
368,"Iraq",2018,1.5,2018,0,"825",825,43412.8,"2011","2014","2009","2016","2009",2008,"...","2008","2017","2016","1985",2010,2009,"1974"
372,"Ireland",2018,4,2018,2.3,"754.67",782.02,6889,"1994","2002","1996","1983","2002",1988,"2016","1985","2005","2010","1996",1997,1994,"1991"
833,"Isle of Man",2018,4.2,NA,NA,"3.46",3.46,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
376,"Israel",2018,8.6,2018,0,"165",140,2164,"1994","1979","1995","1983","2004",1992,"2016","1997","2011","...","...",1996,1996,"1999"
380,"Italy",2018,13.4,2018,8.8,"9297.08",9566.13,29414,"1994","1979","1994","1983","2002",1988,"2016","1977","2002","...","1995",1997,1994,"1978"
388,"Jamaica",2018,1.4,2018,0.8,"577.46",596.89,1083,"2003","1997","1995","...","1999",1993,"2017","1998","2002","2007","1983",1997,1995,"1983"
392,"Japan",2018,10,2018,8.2,"24944",24935,36456,"1993","1980","1993","...","2002",1988,"2016","1980","2004","2002","1996",1998,1993,"1992"
400,"Jordan",2018,1.8,2018,35.6,"97.5",97.5,8878,"1989","1978","1994","2001","2003",1989,"2016","1977","2002","2004","1995",1996,1993,"1975"
398,"Kazakhstan",2018,3.2,2018,1,"3308.46",3454.68,269970,"2003","2000","1994","2006","2009",1998,"2016","2007","2007","2007","...",1997,1995,"1994"
404,"Kenya",2018,10.5,2018,0.8,"3522.41",3611.09,56914,"2000","1978","1994","1999","2005",1988,"2016","1990","2005","2004","1989",1997,1994,"1991"
296,"Kiribati",2018,11.8,2018,11.8,"1.18",1.18,81,"2000","...","1994","...","2000",1993,"2016","2013","...","2004","2003",1998,1995,"2000"
414,"Kuwait",2018,11,2018,1.5,"6.25",6.25,1782,"1993","2002","2002","...","2005",1992,"2018","2015","2006","2006","1986",1997,1994,"2002"
417,"Kyrgyzstan",2018,6.7,NA,NA,"1251.81",1315.38,19180,"1996","2007","1996","2014","2003",2000,"...","2003","2000","2006","...",1997,2000,"1995"
418,"Lao People's Democratic Republic",2018,16.7,NA,NA,"16768",16595.5,23080,"2010","2004","1996","...","2003",1998,"2016","2010","2010","2006","1998",1996,1995,"1987"
428,"Latvia",2018,17.5,2018,16,"3391.44",3410.79,6218,"1992","1997","1996","1999","2002",1995,"2017","1995","2003","2004","2004",2002,1995,"1995"
422,"Lebanon",2018,1,2018,0.2,"140.33",143.33,1023,"1994","2013","1995","2019","2006",1993,"...","1999","2006","2003","1995",1996,1994,"1983"
426,"Lesotho",2018,0.3,NA,NA,"34.52",34.52,3036,"2000","2003","1995","...","2000",1994,"2017","2004","2008","2002","2007",1995,1995,"2003"
430,"Liberia",2018,1.2,2018,0.1,"7768.74",7617.44,9632,"2004","1981","2001","2004","2002",1996,"2018","2003","2004","2002","2008",1998,2002,"2002"
434,"Libya",2018,0.3,2018,0.6,"217",217,175954,"2001","2003","2001","2002","2006",1990,"...","2000","2002","2005","...",1996,1999,"1978"
438,"Liechtenstein",2018,11.9,NA,NA,"6.7",6.7,16,"1992","1979","1998","1997","2004",1989,"2017","1991","2004","2004","...",1999,1994,"..."
440,"Lithuania",2018,17.8,2018,25.6,"2187",2201,6265,"1999","2001","1996","2002","2003",1995,"2017","1993","2004","2006","2003",2003,1995,"1992"
