Country ID,Country,"Time Series - Total CH4 Emissions, in 1000 tonnes of CO₂ equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CH4 emissions, latest year",% change since 1990,"CH4 emissions 
418,Lao People's Democratic Republic,"6,414.45",...,...,...,...,...,...,...,...,...,"5,344.29",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,5344.29,-16.68,1.004
428,Latvia,143.80,141.98,122.36,93.59,86.78,86.40,84.99,83.72,80.26,74.94,74.90,78.33,77.32,73.92,72.71,74.68,72.80,74.76,73.32,74.14,71.65,69.71,71.37,72.25,74.15,70.20,71.23,72.53,69.34,2018,69.34,-51.78,0.036
422,Lebanon,...,...,...,...,"1,129.11",...,...,...,...,...,"1,825.11",...,...,...,...,...,...,...,...,...,...,"2,873.64","2,962.05","2,030.14",...,...,...,...,...,2013,2030.14,...,0.343
426,Lesotho,...,...,...,...,970.41,...,...,...,...,...,"1,257.06",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,1257.06,...,0.618
430,Liberia,...,...,...,...,...,...,...,...,...,...,"4,140.78",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,4140.78,...,1.454
438,Liechtenstein,0.77,0.77,0.75,0.72,0.72,0.72,0.73,0.72,0.72,0.69,0.67,0.71,0.72,0.72,0.73,0.75,0.78,0.79,0.79,0.79,0.76,0.78,0.80,0.76,0.74,0.74,0.74,0.72,0.73,2018,0.73,-5.58,0.019
440,Lithuania,280.24,271.82,237.09,207.10,186.72,177.41,174.26,174.69,170.03,160.02,154.44,151.47,153.58,155.86,156.64,156.38,156.36,154.89,152.27,148.38,147.37,140.96,141.32,138.62,138.87,136.98,133.30,131.08,122.57,2018,122.57,-56.26,0.044
442,Luxembourg,23.27,23.77,23.13,23.32,22.82,23.46,23.81,23.60,23.50,23.70,23.42,23.63,23.61,23.18,23.05,23.01,22.86,23.21,23.62,23.67,23.67,22.69,22.37,22.54,23.06,23.30,23.45,23.75,23.51,2018,23.51,1.03,0.039
450,Madagascar,...,...,...,...,"7,755.09",...,...,...,...,...,"6,919.50",...,...,...,...,"10,489.50","11,488.06","11,493.12","10,846.65","11,003.31","11,192.38",...,...,...,...,...,...,...,...,2010,11192.38,...,0.529
454,Malawi,"7,043.61",...,...,...,"3,945.48",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1994,3945.48,-43.98,0.405
458,Malaysia,"9,964.91","26,472.72","27,866.28","31,781.65","33,588.63","35,304.62","39,159.75","42,083.91","43,813.90","46,828.59","49,116.56","50,703.88","50,966.26","51,879.88","54,653.11","58,182.60","60,520.05","61,759.12","64,087.67","63,688.28","67,342.39","67,532.02",...,...,...,...,...,...,...,2011,67532.02,577.70,2.357
462,Maldives,...,...,...,...,23.98,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,31.79,32.38,33.41,38.85,42.27,...,...,...,2015,42.27,...,0.093
466,Mali,...,...,...,...,...,"7,157.18",...,...,...,...,"8,849.21",...,...,...,...,...,...,...,...,...,"13,544.33",...,...,...,...,...,...,...,...,2010,13544.33,...,0.900
470,Malta,4.21,4.48,4.76,5.05,5.29,5.48,5.76,6.03,6.29,6.57,6.99,7.18,7.45,7.73,8.11,8.56,8.87,9.11,5.89,6.48,7.22,6.73,6.66,6.25,6.90,7.28,7.63,7.63,7.99,2018,7.99,89.81,0.018
584,Marshall Islands,...,...,...,...,...,...,...,...,...,...,39.59,...,...,...,...,35.41,...,...,...,...,42.08,...,...,...,...,...,...,...,...,2010,42.08,...,0.747
478,Mauritania,...,...,...,...,...,"3,263.02",...,...,...,...,"4,146.73",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,4146.73,...,1.577
480,Mauritius,...,...,...,...,...,193.20,...,...,...,...,"1,233.57","1,350.03","1,280.80","1,318.59","1,323.84","1,322.46","1,521.03",...,...,...,...,...,...,"1,545.81",...,...,...,...,...,2013,1545.81,...,1.231
484,Mexico,"64,211.08","66,616.76","65,846.65","70,593.27","71,188.43","71,968.35","76,624.43","80,242.55","81,662.31","78,330.83","81,058.94","79,135.38","80,602.79","82,648.47","82,079.56","83,369.19","86,937.02","92,355.60","1,04,725.95","1,03,507.40","1,00,276.50","1,00,244.70","95,150.11","94,148.43",...,...,...,...,...,2013,94148.43,46.62,0.792
583,Micronesia (Federated States of),...,...,...,...,7.12,...,...,...,...,...,5.85,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,5.85,...,0.054
492,Monaco,0.09,0.08,0.08,0.06,0.05,0.05,0.05,0.04,0.05,0.05,0.06,0.05,0.05,0.05,0.06,0.07,0.08,0.07,0.08,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,2018,0.05,-39.32,0.001
496,Mongolia,"5,636.40","5,508.30","5,445.30","5,279.40","5,649.00","6,079.50","6,289.50","6,583.50","6,837.60",...,...,...,...,...,...,...,"6,528.90",...,...,...,...,...,...,...,...,...,...,...,...,2006,6528.90,15.83,2.551
499,Montenegro,606.04,600.68,573.87,554.21,545.50,554.78,565.32,557.26,553.33,554.74,543.04,530.04,552.51,553.56,541.38,434.28,432.60,409.29,394.17,336.42,362.67,365.48,...,...,...,...,...,...,...,2011,365.48,-39.69,0.585
504,Morocco,...,...,...,...,"7,350.00",...,...,...,...,...,"9,086.49",...,...,...,...,...,...,...,...,...,"15,135.56",...,"16,452.45",...,...,...,...,...,...,2012,16452.45,...,0.495
508,Mozambique,"4,983.93",...,...,...,"5,657.15",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1994,5657.15,13.51,0.378
104,Myanmar,...,...,...,...,...,...,...,...,...,...,"23,182.76","23,651.81","23,956.50","24,542.50","25,207.00","26,584.60",...,...,...,...,...,...,...,...,...,...,...,...,...,2005,26584.60,...,0.543
516,Namibia,...,...,...,...,"3,546.06",...,...,...,...,...,"6,757.80",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,6757.80,...,3.766
520,Nauru,...,...,...,...,7.27,...,...,...,...,...,5.40,...,...,5.75,...,...,...,5.01,...,...,4.16,...,...,...,...,...,...,...,...,2010,4.16,...,0.415
524,Nepal,...,...,...,...,"19,917.87",...,...,...,...,...,"13,666.59",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,13666.59,...,0.571
528,Netherlands,"1,273.89","1,290.11","1,274.56","1,257.36","1,216.76","1,187.96","1,160.37","1,095.13","1,065.66","1,015.31",971.18,944.68,899.56,868.60,853.27,794.98,777.31,779.27,788.38,779.56,776.24,754.38,737.53,737.02,720.33,728.10,733.16,720.49,692.35,2018,692.35,-45.65,0.041
554,New Zealand,"1,291.50","1,296.49","1,281.53","1,289.93","1,323.77","1,339.87","1,363.85","1,390.80","1,368.62","1,378.44","1,413.65","1,428.94","1,421.23","1,426.54","1,425.28","1,434.28","1,442.90","1,405.30","1,364.68","1,371.45","1,372.80","1,377.58","1,396.00","1,399.32","1,409.06","1,388.30","1,370.48","1,370.20","1,371.45",2018,1371.45,6.19,0.289
558,Nicaragua,...,...,...,...,"4,129.86",...,...,...,...,...,"4,269.32",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,4269.32,...,0.842
562,Niger,"3,436.34",...,...,...,...,...,...,...,...,...,"6,762.00",...,...,...,...,...,...,...,"11,550.00",...,...,...,...,...,...,...,...,...,...,2008,11550.00,236.11,0.757
566,Nigeria,...,...,...,...,"1,24,155.28",...,...,...,...,...,"88,179.00",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,88179.00,...,0.721
570,Niue,...,...,...,...,0.01,...,...,...,...,...,0.00,...,...,...,...,0.00,0.00,0.00,0.00,21.00,...,...,...,...,...,...,...,...,...,2009,21.00,...,12.949
807,North Macedonia,"1,718.01","1,702.17","1,725.23","1,735.54","1,682.99","1,695.67","1,663.52","1,666.16","1,626.06","1,608.99","1,643.18","1,639.95","1,619.42","1,694.56","1,709.67","1,661.84","1,700.08","1,642.74","1,698.90","1,655.86",...,...,...,...,...,...,...,...,...,2009,1655.86,-3.62,0.800
578,Norway,241.28,239.10,242.06,247.10,250.39,248.40,250.21,250.98,242.99,238.64,239.02,238.66,233.67,232.56,227.92,222.06,216.19,219.51,213.66,215.34,215.59,209.48,208.49,205.87,203.51,202.21,197.98,194.69,192.18,2018,192.18,-20.35,0.036
512,Oman,...,...,...,...,"2,607.09",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1994,2607.09,...,1.213
585,Palau,...,...,...,...,12.52,13.57,26.11,78.91,164.92,40.77,4.32,...,...,...,...,4.56,...,...,...,...,...,...,...,...,...,...,...,...,...,2005,4.56,...,0.231
591,Panama,...,...,...,...,"3,584.07",...,...,...,...,...,"3,153.15",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,3153.15,...,1.041
598,Papua New Guinea,...,...,...,...,89.67,...,...,...,...,...,"1,177.47",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,1177.47,...,0.201
600,Paraguay,"16,922.95",...,...,...,"13,071.45",...,...,...,...,...,"11,475.03",...,...,...,...,"14,269.71",...,...,...,...,...,"18,812.43","19,272.33",...,...,...,...,...,...,2012,19272.33,13.88,3.001
604,Peru,...,...,...,...,"13,394.64",...,...,...,...,...,"20,013.00",...,...,...,...,...,...,...,...,...,"21,863.13",...,"22,157.00",...,...,...,...,...,...,2012,22157.00,...,0.751
608,Philippines,...,...,...,...,"28,931.91",...,...,...,...,...,"31,797.57",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,31797.57,...,0.408
616,Poland,"2,791.88","2,596.41","2,524.18","2,448.73","2,418.72","2,358.98","2,324.27","2,313.32","2,228.43","2,179.31","2,123.87","2,194.70","2,130.63","2,134.79","2,123.03","2,139.04","2,147.65","2,113.20","2,106.08","2,053.54","2,046.25","1,999.69","1,989.74","1,995.17","1,969.88","1,992.23","1,970.84","1,969.51","1,950.13",2018,1950.13,-30.15,0.051
620,Portugal,383.61,388.50,390.48,392.83,397.97,404.25,411.66,419.39,427.45,436.92,444.85,444.58,445.09,445.21,445.39,442.69,438.70,430.65,421.27,414.08,406.14,401.99,392.26,382.66,377.42,368.80,365.69,366.73,365.06,2018,365.06,-4.84,0.036
634,Qatar,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"3,529.34",...,...,...,...,...,...,...,...,...,...,...,2007,3529.34,...,2.897
410,Republic of Korea,"30,300.90","30,205.14","29,596.98","29,031.66","29,016.33","28,631.61","28,968.87","29,167.74","27,909.84","27,573.00","27,539.40","27,836.34","27,971.37","27,944.28","27,013.98","26,943.00","26,881.26","26,538.75","26,482.47","26,481.84","26,902.68","26,582.01","26,546.52","26,507.25","26,032.44","25,988.34","25,993.59",...,...,2016,25993.59,-14.22,0.510
498,Republic of Moldova,"4,872.37","4,723.61","4,585.21","4,317.90","4,192.05","3,953.43","3,813.98","3,406.52","3,249.25","3,041.84","2,913.84","2,846.19","2,844.41","2,764.02","2,723.28","2,755.51","2,664.37","2,585.99","2,648.82","2,633.20","2,702.71","2,733.55","2,693.29","2,693.70",...,...,...,...,...,2013,2693.70,-44.71,0.661
642,Romania,"2,400.70","2,053.34","1,887.90","1,820.46","1,805.59","1,843.92","1,836.65","1,992.59","1,891.75","1,834.66","1,453.18","1,394.66","1,490.61","1,540.35","1,484.41","1,506.48","1,482.22","1,444.34","1,407.33","1,338.49","1,241.47","1,207.96","1,227.76","1,206.34","1,201.07","1,181.77","1,160.47","1,148.26","1,127.35",2018,1127.35,-53.04,0.058
643,Russian Federation,"18,549.43","17,644.54","16,514.65","15,779.66","14,696.56","14,055.37","13,502.88","13,010.52","12,527.89","12,491.63","12,680.60","12,946.20","12,982.81","13,472.68","13,738.63","13,857.05","14,116.86","14,255.97","14,393.24","13,494.73","14,077.99","14,405.47","14,587.07","14,583.82","14,543.97","14,520.47","14,675.23","15,355.99","15,841.35",2018,15841.35,-14.60,0.109
646,Rwanda,...,...,...,...,...,...,...,...,...,...,...,...,"1,261.07",...,...,"1,508.12",...,...,...,...,...,...,...,...,...,...,...,...,...,2005,1508.12,...,0.171
659,Saint Kitts and Nevis,...,...,...,...,59.48,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1994,59.48,...,1.429
662,Saint Lucia,...,...,...,...,595.78,...,...,...,...,...,80.23,...,...,...,...,84.71,...,...,...,...,87.78,...,...,...,...,...,...,...,...,2010,87.78,...,0.504
670,Saint Vincent and the Grenadines,62.11,...,...,...,62.29,...,...,64.38,...,...,66.80,...,...,...,66.78,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2004,66.78,7.52,0.615
882,Samoa,...,...,...,...,69.38,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1994,69.38,...,0.411
674,San Marino,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,3.40,...,...,2.78,...,...,...,...,...,...,...,...,2010,2.78,...,0.089
678,Sao Tome and Principe,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,21.34,...,...,...,...,...,...,2012,21.34,...,0.113
682,Saudi Arabia,"16,526.99",...,...,...,...,...,...,...,...,...,"27,551.81",...,...,...,...,...,...,...,...,...,"43,401.23",...,"37,360.05",...,...,...,...,...,...,2012,37360.05,126.05,1.281
686,Senegal,...,...,...,...,...,...,...,...,...,...,"6,475.48",...,...,...,...,"6,224.40",...,...,...,...,...,...,...,...,...,...,...,...,...,2005,6224.40,...,0.561
688,Serbia,"9,081.66",...,...,...,...,...,...,...,"8,914.71",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1998,8914.71,-1.84,0.920
690,Seychelles,...,...,...,...,...,47.29,...,...,...,...,57.60,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,57.60,...,0.711
702,Singapore,...,...,...,...,...,...,...,...,...,...,111.72,...,...,...,...,...,...,...,...,...,113.90,...,86.73,...,...,...,...,...,...,2012,86.73,...,0.016
703,Slovakia,290.20,278.30,252.95,243.11,235.37,236.95,233.61,225.69,223.23,222.12,212.76,207.95,204.63,199.10,202.87,204.27,197.42,195.01,198.02,188.14,191.91,194.50,179.22,184.17,173.67,181.24,183.16,184.65,177.68,2018,177.68,-38.77,0.033
705,Slovenia,101.76,97.94,98.62,94.23,94.00,95.08,93.39,94.01,96.10,96.20,99.94,99.01,101.88,100.35,98.30,97.27,95.13,96.18,91.34,87.57,86.31,85.98,84.14,81.91,77.87,80.14,81.66,79.78,77.45,2018,77.45,-23.89,0.037
90,Solomon Islands,...,...,...,...,...,...,...,...,...,...,201.60,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,201.60,...,0.489
710,South Africa,"43,114.89",...,...,...,"43,206.03",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1994,43206.03,0.21,1.065
728,South Sudan,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"15,276.09","15,751.34","16,178.25","16,374.71",...,...,...,2015,16374.71,...,1.528
724,Spain,"1,424.37","1,378.94","1,407.05","1,401.92","1,448.69","1,481.77","1,552.90","1,586.55","1,606.77","1,651.29","1,710.73","1,726.56","1,732.34","1,749.11","1,728.95","1,690.78","1,662.70","1,696.35","1,636.89","1,694.98","1,620.99","1,625.59","1,577.67","1,539.59","1,516.33","1,567.59","1,566.01","1,583.45","1,588.89",2018,1588.89,11.55,0.034
144,Sri Lanka,...,...,...,"16,107.00","16,022.63","16,044.00",...,...,...,...,"6,802.53",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,6802.53,...,0.362
275,State of Palestine,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,802.64,...,...,...,...,...,...,...,2011,802.64,...,0.193
729,Sudan,...,...,...,...,...,"39,774.00",...,...,...,...,"43,986.60",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,43986.60,...,1.613
740,Suriname,...,...,...,...,...,...,...,...,...,...,...,...,...,861.00,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2003,861.00,...,1.765
752,Sweden,296.75,296.60,302.00,301.04,298.57,294.68,295.03,292.23,287.93,279.94,273.33,270.42,260.55,252.16,253.21,245.62,241.08,230.60,219.71,213.53,208.66,202.64,195.98,193.13,188.07,183.82,180.44,178.82,175.22,2018,175.22,-40.95,0.018
756,Switzerland,241.76,238.92,235.61,231.23,229.20,229.17,226.73,220.78,217.94,214.49,212.26,213.91,212.13,208.92,207.55,208.15,208.81,208.10,210.92,207.24,206.17,203.97,202.83,200.27,200.14,198.96,197.21,194.74,193.60,2018,193.60,-19.92,0.023
762,Tajikistan,3696.00,3738.00,3420.90,3402.00,2919.00,2688.00,2520.00,2436.00,2352.00,2268.00,2352.00,2352.00,2415.00,2562.00,2604.00,2751.00,2814.00,2919.00,3297.00,3465.00,3486.00,...,...,...,...,...,...,...,...,2010,3486.00,-5.68,0.463
764,Thailand,...,...,...,...,65346.81,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,59520.09,...,...,...,...,...,2013,59520.09,...,0.873
626,Timor-Leste,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,548.57,...,...,...,...,...,...,...,...,2010,548.57,...,0.502
768,Togo,...,...,794.64,820.05,864.36,934.58,936.18,991.20,1115.31,...,1108.59,...,...,...,...,1362.90,...,...,...,...,...,...,...,...,...,...,...,...,...,2005,1362.90,...,0.243
776,Tonga,...,...,...,...,105.84,...,...,...,...,...,94.36,...,...,...,...,...,36.27,...,...,...,...,...,...,...,...,...,...,...,...,2006,36.27,...,0.357
780,Trinidad and Tobago,686.55,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1990,686.55,...,0.562
788,Tunisia,...,...,...,...,3783.15,...,...,...,...,...,5811.96,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,5811.96,...,0.599
792,Turkey,1696.20,1731.41,1727.72,1718.63,1707.35,1700.12,1714.18,1684.87,1692.51,1747.08,1742.30,1711.80,1634.41,1714.58,1739.57,1806.23,1863.56,1959.27,1995.64,1983.63,2052.77,2147.78,2283.68,2218.76,2292.19,2054.39,2154.33,2169.25,2303.04,2018,2303.04,35.78,0.028
795,Turkmenistan,...,...,...,...,18794.55,...,...,...,...,...,24239.76,...,...,...,33262.95,...,...,...,...,...,27398.95,...,...,...,...,...,...,...,...,2010,27398.95,...,5.386
798,Tuvalu,...,...,...,...,0.91,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2.28,...,...,...,...,2014,2.28,...,0.207
800,Uganda,...,...,...,...,26652.09,...,...,...,...,...,9464.28,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,9464.28,...,0.400
804,Ukraine,7302.91,6987.77,6670.46,6332.76,5955.37,5545.95,5387.04,5175.34,5026.66,5076.97,4718.11,4660.07,4362.12,4387.22,4261.17,4097.84,4003.52,3996.27,3729.29,3406.46,3382.71,3440.41,3219.30,3007.42,2750.36,2449.44,2639.76,2546.15,2700.80,2018,2700.80,-63.02,0.061
784,United Arab Emirates,...,...,...,...,11627.70,...,...,...,...,...,20958.00,...,...,...,...,29925.00,...,...,...,...,...,...,...,...,10543.89,...,...,...,...,2014,10543.89,...,1.144
826,United Kingdom of Great Britain and Northern Ireland,5322.42,5352.46,5339.63,5276.15,5000.29,5060.88,5025.76,4933.52,4792.53,4570.19,4361.47,4165.55,4067.54,3860.17,3685.93,3494.65,3317.09,3161.71,2938.10,2756.59,2569.70,2462.37,2401.75,2242.04,2157.23,2124.96,2061.65,2078.63,2077.45,2018,2077.45,-60.97,0.031
834,United Republic of Tanzania,20656.83,...,...,...,21634.92,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1994,21634.92,4.73,0.751
840,United States of America,30976.38,31154.42,31110.16,30638.51,30886.43,30599.92,30305.22,29673.34,29067.99,28354.43,28120.44,27826.02,27536.73,27521.25,27268.75,27182.48,27358.15,27426.78,27667.68,27207.91,27293.45,26250.82,25873.21,25698.30,25560.44,25539.31,24969.79,25212.18,25378.29,2018,25378.29,-18.07,0.078
858,Uruguay,14506.80,...,...,...,16029.30,...,...,...,15735.05,...,15283.80,...,16221.20,...,16514.40,...,17011.49,...,17323.95,...,16146.90,...,15720.60,...,16240.27,...,16588.93,16519.47,...,2017,16519.47,13.87,4.807
860,Uzbekistan,54188.20,56499.30,56664.10,83492.10,70252.00,71728.60,73620.40,65875.20,62435.30,67279.32,78678.30,81563.21,82604.06,84431.25,83649.54,85929.46,99022.43,99973.06,104570.97,89998.81,86974.71,87895.90,88442.50,...,...,...,...,...,...,2012,88442.50,63.21,3.003
548,Vanuatu,...,...,...,...,235.21,...,...,...,...,...,336.84,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,336.84,...,1.821
862,Venezuela (Bolivarian Republic of),...,...,...,...,...,...,...,...,...,61921.44,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1999,61921.44,...,2.608
704,Viet Nam,...,...,...,...,48893.94,...,...,...,...,...,63499.59,...,...,...,...,...,...,...,...,...,87316.17,...,...,84859.32,...,...,...,...,...,2013,84859.32,...,0.935
887,Yemen,...,...,...,...,...,2694.30,...,...,...,...,4424.49,...,...,...,...,...,...,...,...,...,7008.75,...,7714.83,...,...,...,...,...,...,2012,7714.83,...,0.315
894,Zambia,...,...,...,...,10704.65,...,...,...,...,...,6567.04,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,6567.04,...,0.630
716,Zimbabwe,...,...,...,...,7523.49,...,...,...,...,...,7476.00,...,...,...,...,...,5363.80,...,...,...,...,...,...,...,...,...,...,...,...,2006,5363.80,...,0.441
