CountryID,Country and area,Energy supply (petajoules),"Energy supply 
per capita 
(gigajoules per capita)",Conribution of renewables to electricity production (%),Footnote,,,,,,,,,,,,,,,,,,
4,Afghanistan,123,3,84.70,,,,,,,,,,,,,,,,,,,
8,Albania,100,34,100.00,,,,,,,,,,,,,,,,,,,
12,Algeria,2289,55,0.84,,,,,,,,,,,,,,,,,,,
20,Andorra,9,117,83.96,,,,,,,,,,,,,,,,,,,
24,Angola,618,21,71.40,,,,,,,,,,,,,,,,,,,
660,Anguilla,2,136,0.00,,,,,,,,,,,,,,,,,,,
28,Antigua and Barbuda,7,69,2.55,,,,,,,,,,,,,,,,,,,
32,Argentina,3385,76,29.03,,,,,,,,,,,,,,,,,,,
51,Armenia,137,47,29.28,,,,,,,,,,,,,,,,,,,
533,Aruba,13,123,14.11,,,,,,,,,,,,,,,,,,,
36,Australia,5353,219,14.32,1,,,,,,,,,,,,,,,,,,
40,Austria,1404,161,70.25,,,,,,,,,,,,,,,,,,,
31,Azerbaijan,602,61,7.42,,,,,,,,,,,,,,,,,,,
44,Bahamas,29,72,0.00,,,,,,,,,,,,,,,,,,,
48,Bahrain,580,389,0.03,,,,,,,,,,,,,,,,,,,
50,Bangladesh,1925,12,1.67,,,,,,,,,,,,,,,,,,,
52,Barbados,16,55,2.80,,,,,,,,,,,,,,,,,,,
112,Belarus,1081,114,1.71,,,,,,,,,,,,,,,,,,,
56,Belgium,2301,201,13.53,,,,,,,,,,,,,,,,,,,
84,Belize,16,43,48.74,,,,,,,,,,,,,,,,,,,
204,Benin,213,19,1.81,,,,,,,,,,,,,,,,,,,
60,Bermuda,9,151,0.00,,,,,,,,,,,,,,,,,,,
64,Bhutan,67,83,99.99,,,,,,,,,,,,,,,,,,,
68,Bolivia (Plur. State of),371,34,23.13,,,,,,,,,,,,,,,,,,,
70,Bosnia and Herzegovina,278,79,24.38,,,,,,,,,,,,,,,,,,,
72,Botswana,99,43,0.07,,,,,,,,,,,,,,,,,,,
76,Brazil,12900,62,70.24,,,,,,,,,,,,,,,,,,,
92,British Virgin Islands,2,77,0.67,,,,,,,,,,,,,,,,,,,
96,Brunei Darussalam,153,356,0.05,,,,,,,,,,,,,,,,,,,
100,Bulgaria,781,110,14.11,,,,,,,,,,,,,,,,,,,
854,Burkina Faso,185,10,12.51,,,,,,,,,,,,,,,,,,,
108,Burundi,63,6,54.35,,,,,,,,,,,,,,,,,,,
132,Cabo Verde,10,18,16.87,,,,,,,,,,,,,,,,,,,
116,Cambodia,339,21,39.13,,,,,,,,,,,,,,,,,,,
120,Cameroon,388,16,51.31,,,,,,,,,,,,,,,,,,,
124,Canada,12088,330,64.59,,,,,,,,,,,,,,,,,,,
136,Cayman Islands,8,135,0.00,,,,,,,,,,,,,,,,,,,
140,Central African Rep.,23,5,99.35,,,,,,,,,,,,,,,,,,,
148,Chad,85,6,0.00,,,,,,,,,,,,,,,,,,,
152,Chile,1603,89,36.28,,,,,,,,,,,,,,,,,,,
156,China,123598,88,24.39,,,,,,,,,,,,,,,,,,,
344,"China, Hong Kong SAR",587,80,0.00,2,,,,,,,,,,,,,,,,,,
446,"China, Macao SAR",48,78,0.00,3,,,,,,,,,,,,,,,,,,
170,Colombia,1677,34,76.52,4,,,,,,,,,,,,,,,,,,
174,Comoros,6,8,0.00,,,,,,,,,,,,,,,,,,,
178,Congo,124,24,44.23,,,,,,,,,,,,,,,,,,,
184,Cook Islands,1,56,10.81,,,,,,,,,,,,,,,,,,,
188,Costa Rica,212,43,98.05,,,,,,,,,,,,,,,,,,,
384,Côte d'Ivoire,458,19,20.23,,,,,,,,,,,,,,,,,,,
191,Croatia,364,87,56.66,,,,,,,,,,,,,,,,,,,
192,Cuba,404,35,0.80,,,,,,,,,,,,,,,,,,,
531,Curaçao,76,473,38.61,,,,,,,,,,,,,,,,,,,
196,Cyprus,94,79,7.65,,,,,,,,,,,,,,,,,,,
203,Czechia,1818,171,6.81,,,,,,,,,,,,,,,,,,,
180,Dem. Rep. of the Congo,1246,15,99.71,,,,,,,,,,,,,,,,,,,
208,Denmark,720,126,50.09,,,,,,,,,,,,,,,,,,,
262,Djibouti,9,9,0.00,5,,,,,,,,,,,,,,,,,,
212,Dominica,2,33,20.77,,,,,,,,,,,,,,,,,,,
214,Dominican Republic,344,32,14.32,,,,,,,,,,,,,,,,,,,
218,Ecuador,615,37,72.05,,,,,,,,,,,,,,,,,,,
818,Egypt,4012,41,8.02,,,,,,,,,,,,,,,,,,,
222,El Salvador,175,27,61.31,6,,,,,,,,,,,,,,,,,,
226,Equatorial Guinea,49,39,23.53,,,,,,,,,,,,,,,,,,,
232,Eritrea,37,11,0.94,,,,,,,,,,,,,,,,,,,
233,Estonia,243,185,99.68,,,,,,,,,,,,,,,,,,,
748,Eswatini,44,39,5.80,,,,,,,,,,,,,,,,,,,
231,Ethiopia,1534,15,28.26,,,,,,,,,,,,,,,,,,,
234,Faeroe Islands,10,210,51.20,,,,,,,,,,,,,,,,,,,
238,Falkland Is. (Malvinas),1,183,25.00,,,,,,,,,,,,,,,,,,,
242,Fiji,34,38,48.91,,,,,,,,,,,,,,,,,,,
246,Finland,1385,251,29.64,,,,,,,,,,,,,,,,,,,
251,France,10278,153,16.14,7,,,,,,,,,,,,,,,,,,
258,French Polynesia,11,40,37.07,,,,,,,,,,,,,,,,,,,
266,Gabon,109,54,39.23,,,,,,,,,,,,,,,,,,,
270,Gambia,14,7,0.00,8,,,,,,,,,,,,,,,,,,
268,Georgia,204,52,80.63,,,,,,,,,,,,,,,,,,,
276,Germany,12999,158,26.48,,,,,,,,,,,,,,,,,,,
288,Ghana,315,11,39.61,,,,,,,,,,,,,,,,,,,
292,Gibraltar,11,309,0.00,,,,,,,,,,,,,,,,,,,
300,Greece,966,87,24.55,,,,,,,,,,,,,,,,,,,
304,Greenland,9,156,74.90,9,,,,,,,,,,,,,,,,,,
308,Grenada,4,40,0.00,,,,,,,,,,,,,,,,,,,
320,Guatemala,530,31,52.61,,,,,,,,,,,,,,,,,,,
831,Guernsey,1,18,0.00,,,,,,,,,,,,,,,,,,,
324,Guinea,156,12,24.42,,,,,,,,,,,,,,,,,,,
624,Guinea-Bissau,31,17,0.00,,,,,,,,,,,,,,,,,,,
328,Guyana,37,47,0.18,,,,,,,,,,,,,,,,,,,
332,Haiti,188,17,12.12,,,,,,,,,,,,,,,,,,,
340,Honduras,252,27,50.11,,,,,,,,,,,,,,,,,,,
348,Hungary,1115,115,4.29,,,,,,,,,,,,,,,,,,,
352,Iceland,327,977,99.99,,,,,,,,,,,,,,,,,,,
356,India,38083,28,15.73, ,,,,,,,,,,,,,,,,,,
360,Indonesia,9959,38,11.24,10,,,,,,,,,,,,,,,,,,
364,Iran (Islamic Rep. of),10987,135,5.02,,,,,,,,,,,,,,,,,,,
368,Iraq,2521,66,2.59,,,,,,,,,,,,,,,,,,,
372,Ireland,574,121,27.05,,,,,,,,,,,,,,,,,,,
833,Isle of Man,4,53,…,,,,,,,,,,,,,,,,,,,
376,Israel,965,116,2.86,,,,,,,,,,,,,,,,,,,
382,Italy,6437,108,29.41,11,,,,,,,,,,,,,,,,,,
388,Jamaica,111,38,11.17,,,,,,,,,,,,,,,,,,,
392,Japan,18116,142,16.34,12,,,,,,,,,,,,,,,,,,
832,Jersey,3,29,0.00,,,,,,,,,,,,,,,,,,,
400,Jordan,384,40,5.19,,,,,,,,,,,,,,,,,,,
398,Kazakhstan,3335,183,11.29,,,,,,,,,,,,,,,,,,,
404,Kenya,932,19,74.97,,,,,,,,,,,,,,,,,,,
296,Kiribati,1,12,16.13,,,,,,,,,,,,,,,,,,,
408,"Korea, Dem.Ppl's.Rep.",307,12,78.48,,,,,,,,,,,,,,,,,,,
410,"Korea, Republic of",11821,232,3.23,,,,,,,,,,,,,,,,,,,
412,Kosovo,108,59,3.04, ,,,,,,,,,,,,,,,,,,
414,Kuwait,1584,383,0.00,13,,,,,,,,,,,,,,,,,,
417,Kyrgyzstan,162,27,91.55,,,,,,,,,,,,,,,,,,,
418,Lao People's Dem. Rep.,237,35,62.97,,,,,,,,,,,,,,,,,,,
428,Latvia,185,95,60.16,,,,,,,,,,,,,,,,,,,
422,Lebanon,369,54,1.95,,,,,,,,,,,,,,,,,,,
426,Lesotho,48,21,99.80,,,,,,,,,,,,,,,,,,,
430,Liberia,97,21,9.15,,,,,,,,,,,,,,,,,,,
434,Libya,555,87,0.02,,,,,,,,,,,,,,,,,,,
438,Liechtenstein,3,89,97.85,,,,,,,,,,,,,,,,,,,
440,Lithuania,313,108,68.38,,,,,,,,,,,,,,,,,,,
442,Luxembourg,160,274,79.01, ,,,,,,,,,,,,,,,,,,
450,Madagascar,322,13,40.03,14,,,,,,,,,,,,,,,,,,
454,Malawi,84,5,90.86,,,,,,,,,,,,,,,,,,,
458,Malaysia,3482,110,16.36,,,,,,,,,,,,,,,,,,,
462,Maldives,22,43,2.44,,,,,,,,,,,,,,,,,,,
466,Mali,96,5,56.14,,,,,,,,,,,,,,,,,,,
470,Malta,29,66,9.42,,,,,,,,,,,,,,,,,,,
584,Marshall Islands,2,43,2.25,,,,,,,,,,,,,,,,,,,
478,Mauritania,73,17,21.11,,,,,,,,,,,,,,,,,,,
480,Mauritius,69,55,4.60,,,,,,,,,,,,,,,,,,,
484,Mexico,7622,59,15.36,,,,,,,,,,,,,,,,,,,
583,Micronesia (Fed. States of),2,20,2.90,,,,,,,,,,,,,,,,,,,
496,Mongolia,395,128,0.00,,,,,,,,,,,,,,,,,,,
499,Montenegro,43,68,45.71,,,,,,,,,,,,,,,,,,,
500,Montserrat,0,72,0.00,,,,,,,,,,,,,,,,,,,
504,Morocco,869,24,19.03,,,,,,,,,,,,,,,,,,,
508,Mozambique,452,15,82.76,,,,,,,,,,,,,,,,,,,
104,Myanmar,854,16,56.10,,,,,,,,,,,,,,,,,,,
516,Namibia,82,32,96.02,,,,,,,,,,,,,,,,,,,
520,Nauru,1,55,2.78,,,,,,,,,,,,,,,,,,,
524,Nepal,571,19,100.00,,,,,,,,,,,,,,,,,,,
528,Netherlands,3085,181,11.05,15,,,,,,,,,,,,,,,,,,
540,New Caledonia,68,246,13.44,,,,,,,,,,,,,,,,,,,
554,New Zealand,955,203,79.97,,,,,,,,,,,,,,,,,,,
558,Nicaragua,167,27,41.28,,,,,,,,,,,,,,,,,,,
562,Niger,85,4,2.65,,,,,,,,,,,,,,,,,,,
566,Nigeria,6568,34,17.22,,,,,,,,,,,,,,,,,,,
570,Niue,0,60,0.00,,,,,,,,,,,,,,,,,,,
807,North Macedonia,119,57,23.14,,,,,,,,,,,,,,,,,,,
579,Norway,1235,233,97.84,,,,,,,,,,,,,,,,,,,
512,Oman,1102,238,0.00,,,,,,,,,,,,,,,,,,,
586,Pakistan,4280,22,27.69,16,,,,,,,,,,,,,,,,,,
585,Palau,3,182,0.00,,,,,,,,,,,,,,,,,,,
591,Panama,197,48,71.58,,,,,,,,,,,,,,,,,,,
598,Papua New Guinea,168,20,28.70,,,,,,,,,,,,,,,,,,,
600,Paraguay,288,42,100.00,,,,,,,,,,,,,,,,,,,
604,Peru,960,30,57.79,,,,,,,,,,,,,,,,,,,
608,Philippines,2321,22,23.18,,,,,,,,,,,,,,,,,,,
616,Poland,4384,115,10.66,,,,,,,,,,,,,,,,,,,
620,Portugal,951,92,35.48,17,,,,,,,,,,,,,,,,,,
630,Puerto Rico,50,16,2.23,,,,,,,,,,,,,,,,,,,
634,Qatar,1798,681,0.00,,,,,,,,,,,,,,,,,,,
498,Republic of Moldova,114,28,73.57,18,,,,,,,,,,,,,,,,,,
642,Romania,1401,71,37.50,,,,,,,,,,,,,,,,,,,
643,Russian Federation,31182,217,17.20,,,,,,,,,,,,,,,,,,,
646,Rwanda,99,8,49.28,,,,,,,,,,,,,,,,,,,
882,Samoa,5,25,33.78,,,,,,,,,,,,,,,,,,,
678,Sao Tome and Principe,3,14,7.78,,,,,,,,,,,,,,,,,,,
682,Saudi Arabia,8946,272,0.00,19,,,,,,,,,,,,,,,,,,
686,Senegal,168,11,2.96,,,,,,,,,,,,,,,,,,,
688,Serbia,647,93,26.49,20,,,,,,,,,,,,,,,,,,
690,Seychelles,8,86,1.95,,,,,,,,,,,,,,,,,,,
694,Sierra Leone,68,9,72.28,,,,,,,,,,,,,,,,,,,
702,Singapore,1166,204,0.32,,,,,,,,,,,,,,,,,,,
534,Sint Maarten (Dutch part),12,292,…,,,,,,,,,,,,,,,,,,,
703,Slovakia,717,132,19.07,,,,,,,,,,,,,,,,,,,
705,Slovenia,289,139,27.14,,,,,,,,,,,,,,,,,,,
90,Solomon Islands,7,12,0.94, ,,,,,,,,,,,,,,,,,,
706,Somalia,148,10,0.00,,,,,,,,,,,,,,,,,,,
710,South Africa,5910,104,5.39,,,,,,,,,,,,,,,,,,,
728,South Sudan,28,3,0.55,,,,,,,,,,,,,,,,,,,
724,Spain,5227,113,30.71,21,,,,,,,,,,,,,,,,,,
144,Sri Lanka,461,22,30.81,,,,,,,,,,,,,,,,,,,
654,St. Helena and Depend.,0,26,27.27,,,,,,,,,,,,,,,,,,,
659,St. Kitts-Nevis,3,63,5.07,,,,,,,,,,,,,,,,,,,
662,St. Lucia,5,29,0.00,,,,,,,,,,,,,,,,,,,
666,St. Pierre-Miquelon,1,171,0.00,,,,,,,,,,,,,,,,,,,
670,St. Vincent-Grenadines,4,35,10.46,,,,,,,,,,,,,,,,,,,
275,State of Palestine,78,16,8.24, ,,,,,,,,,,,,,,,,,,
729,Sudan,532,13,59.69,,,,,,,,,,,,,,,,,,,
740,Suriname,40,71,43.93,,,,,,,,,,,,,,,,,,,
752,Sweden,2033,205,50.54,,,,,,,,,,,,,,,,,,,
757,Switzerland,988,116,61.58,22,,,,,,,,,,,,,,,,,,
760,Syrian Arab Republic,374,20,4.14,,,,,,,,,,,,,,,,,,,
762,Tajikistan,187,21,94.43,,,,,,,,,,,,,,,,,,,
764,Thailand,5777,84,8.14,,,,,,,,,,,,,,,,,,,
626,Timor-Leste,8,6,0.00,,,,,,,,,,,,,,,,,,,
768,Togo,154,20,29.71,,,,,,,,,,,,,,,,,,,
776,Tonga,2,20,6.45,,,,,,,,,,,,,,,,,,,
780,Trinidad and Tobago,703,514,0.04,,,,,,,,,,,,,,,,,,,
788,Tunisia,473,41,4.04,,,,,,,,,,,,,,,,,,,
792,Turkey,6138,76,28.92,,,,,,,,,,,,,,,,,,,
795,Turkmenistan,1158,201,0.00,,,,,,,,,,,,,,,,,,,
796,Turks and Caicos Islands,3,91,0.84,,,,,,,,,,,,,,,,,,,
800,Uganda,693,16,89.83,,,,,,,,,,,,,,,,,,,
804,Ukraine,3739,85,7.88,23,,,,,,,,,,,,,,,,,,
784,United Arab Emirates,3042,324,0.59,,,,,,,,,,,,,,,,,,,
826,United Kingdom,7353,111,20.79,24,,,,,,,,,,,,,,,,,,
834,United Rep. of Tanzania,855,15,29.69,,,,,,,,,,,,,,,,,,,
840,United States,90228,278,15.81,25,,,,,,,,,,,,,,,,,,
858,Uruguay,217,63,80.43,,,,,,,,,,,,,,,,,,,
860,Uzbekistan,1880,59,13.81,,,,,,,,,,,,,,,,,,,
548,Vanuatu,3,11,21.92,,,,,,,,,,,,,,,,,,,
862,Venezuela (Bolivar. Rep.),2064,65,53.50,,,,,,,,,,,,,,,,,,,
704,Viet Nam,2980,31,44.91,,,,,,,,,,,,,,,,,,,
887,Yemen,142,5,13.77,,,,,,,,,,,,,,,,,,,
894,Zambia,501,29,85.99,,,,,,,,,,,,,,,,,,,
716,Zimbabwe,474,33,52.61,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
