CountryID,Country,City,Year,Municipal waste collected (1000 tonnes),Footnotes,Total population of the city (1000 inh.),Footnotes,Population served by municipal waste collection (%),Footnotes,Municipal waste collected per capita served (kg/year),Municipal waste collected per capita served (kg/day)
8,Albania,Tirana,2003,1270.00,1,1382.00,,...,,...,...
12,Algeria,Adrar,2017,23.00,,510.00,,...,,...,...
12,Algeria,Algiers,2017,1050.00,,3700.00,,100.00,,283.78,0.78
12,Algeria,Djelfa,2017,420.00,,1500.00,,100.00,,280.00,0.77
12,Algeria,El Djazair (Algiers),2017,1050.00,,3700.00,,100.00,,283.78,0.78
12,Algeria,Qacentina (Constantine),2017,225.00,,1155.00,,...,,...,...
12,Algeria,Wahran (Oran),2017,461.00,,1830.00,,...,,...,...
32,Argentina,Buenos Aires,2010,...,,2890.15,2,97.70,2,...,...
32,Argentina,Córdoba,2010,...,,3308.88,3,93.00,3,...,...
32,Argentina,La Matanza,2010,...,,1775.82,4,91.90,4,...,...
51,Armenia,Gyumri,2017,9.75,,115.20,,99.50,,85.06,0.23
51,Armenia,Vanadzor,2017,6.23,,80.00,,96.90,,80.37,0.22
51,Armenia,Yerevan,2017,310.10,,1076.10,,100.00,,288.17,0.79
31,Azerbaijan,Baku,2017,824.40,,2262.60,,...,,...,...
31,Azerbaijan,Ganja,2017,78.40,,332.60,,...,,...,...
31,Azerbaijan,Sumgait,2017,151.20,,341.20,,...,,...,...
50,Bangladesh,Dhaka,2014,912.50,,...,,60.00,,...,...
112,Belarus,Minsk,2017,971.40,5,1975.00,,100.00,,491.85,1.35
204,Benin,Cotonou,2002,...,,...,,23.00,,...,...
204,Benin,Parakou,2002,3.20,,148.45,,10.00,,215.56,0.59
64,Bhutan,Thimphu,2017,14.60,,108.93,,20.78,,644.85,1.77
68,Bolivia (Plurinational State of),Cobija,2017,16.51,,66.57,,...,,...,...
68,Bolivia (Plurinational State of),Cochabamba,2017,192.01,,691.97,,...,,...,...
68,Bolivia (Plurinational State of),El Alto,2017,245.04,,912.21,,...,,...,...
68,Bolivia (Plurinational State of),La Paz,2017,224.43,,798.97,,...,,...,...
68,Bolivia (Plurinational State of),Oruro,2017,60.51,,289.23,,...,,...,...
68,Bolivia (Plurinational State of),Potosi,2017,47.72,,210.47,,...,,...,...
68,Bolivia (Plurinational State of),Potosí ,2017,47.72,,210.47,,...,,...,...
68,Bolivia (Plurinational State of),Santa Cruz,2017,599.85,,1664.66,,...,,...,...
68,Bolivia (Plurinational State of),Sucre,2017,57.20,,284.54,,...,,...,...
68,Bolivia (Plurinational State of),Tarija,2017,59.06,,246.99,,...,,...,...
68,Bolivia (Plurinational State of),Trinidad,2017,19.55,,122.11,,...,,...,...
70,Bosnia and Herzegovina,Sarajevo,2015,197.54,,417.17,,...,,...,...
70,Bosnia and Herzegovina,Zenica,2009,27.30,,127.11,,85.00,,252.67,0.69
72,Botswana,Francistown,2017,86.53,,110.08,,100.00,,786.11,2.15
72,Botswana,Gaborone,2017,77.87,,264.31,,100.00,,294.60,0.81
76,Brazil,Brasília,2015,900.71,,2915.00,,99.00,,312.11,0.86
76,Brazil,Porto Alegre,2015,561.42,,1476.00,,100.00,,380.36,1.04
76,Brazil,Rio de Janeiro,2015,3273.25,,6476.63,,100.00,,505.39,1.38
76,Brazil,Salvador,2015,...,,2921.00,,96.70,,...,...
76,Brazil,São Paulo ,2015,3998.51,,11966.00,,100.00,,334.16,0.92
854,Burkina Faso,Ouagadougou,2015,...,,2050.00,,...,,...,...
108,Burundi,Bujumbura,2017,39.09,,...,,...,,...,...
132,Cabo Verde,Porto Novo,2012,0.86,,...,,...,,...,...
132,Cabo Verde,Praia,2017,...,,159.03,,...,,...,...
132,Cabo Verde,Ribeira Grande,2012,1.40,,...,,...,,...,...
132,Cabo Verde,S.Miguel,2012,1.44,,...,,...,,...,...
132,Cabo Verde,Sal,2017,...,,36.77,,...,,...,...
132,Cabo Verde,Santa Catarina,2012,6.48,,...,,...,,...,...
132,Cabo Verde,Santa Cruz,2012,3.96,,...,,...,,...,...
132,Cabo Verde,Sao Filipe,2012,0.63,,...,,...,,...,...
132,Cabo Verde,Sao Vicente,2012,18.00,,76.11,,100.00,,236.51,0.65
132,Cabo Verde,São Vicente ,2017,...,,82.68,,...,,...,...
132,Cabo Verde,Tarrafal,2012,4.68,,...,,...,,...,...
120,Cameroon,Douala,2009,6816.52,6,...,,58.33,,...,...
120,Cameroon,Yaounde,2009,377.28,,...,,...,,...,...
140,Central African Republic,Bangui,2009,26.80,,700.00,,32.00,,119.64,0.33
148,Chad,N'Djamena,2009,121.50,,1000.00,,45.00,,270.00,0.74
156,China,Beijing (Peking),2017,9248.00,,21710.00,,...,,...,...
156,China,Chongqing,2017,5297.00,,30750.00,,...,,...,...
156,China,Shanghai,2017,7431.00,,2418.00,,...,,...,...
344,"China, Hong Kong Special Administrative Region",Hong Kong,2015,5741.00,,7291.00,,100.00,,787.41,2.16
446,"China, Macao Special Administrative Region",Macao,2015,516.98,7,642.90,,100.00,,804.14,2.20
170,Colombia,Barranquilla,2015,...,,1218.47,,...,,...,...
170,Colombia,Bogotá D.C,2015,...,,7878.78,,...,,...,...
178,Congo,Brazzaville,2007,...,,1261.98,,...,,...,...
178,Congo,Pointe-Noire,2007,...,,724.53,,...,,...,...
188,Costa Rica,San José,2008,135.25,,343.00,,100.00,,394.33,1.08
191,Croatia,Rijeka,2012,27.66,8,128.38,,100.00,,215.44,0.59
191,Croatia,Split,2012,58.16,9,178.19,,100.00,,326.39,0.89
191,Croatia,Zagreb,2012,295.29,10,790.02,,100.00,,373.78,1.02
192,Cuba,Camagüey,2017,215.00,11,306.10,,100.00,,702.38,1.92
192,Cuba,Habana,2017,1855.20,12,2129.55,,100.00,,871.17,2.39
180,Democratic Republic of the Congo,Kinshasa,2017,...,,12986.00,,...,,...,...
212,Dominica,Roseau,2005,...,,...,,100.00,,...,...
214,Dominican Republic,Distrito Nacional (Capital de la República),2015,704.04,,1008.00,,...,,...,...
214,Dominican Republic,Los Alcarrizos,2015,55.98,,275.40,,...,,...,...
214,Dominican Republic,Pantoja (Distrito Municipal),2016,8.61,,55.95,,...,,...,...
214,Dominican Republic,Pedro Brand,2015,3678.00,,65.71,,...,,...,...
214,Dominican Republic,San Pedro De Macoris,2015,...,,190.47,,...,,...,...
214,Dominican Republic,Santiago De Los Caballeros,2015,...,,621.97,,...,,...,...
214,Dominican Republic,Santo  Domingo Este,2015,279.33,,1011.71,,...,,...,...
214,Dominican Republic,Santo  Domingo Norte,2015,114.82,,563.58,,...,,...,...
214,Dominican Republic,Santo  Domingo Oeste,2015,122.25,,355.21,,...,,...,...
218,Ecuador,Cuenca,2012,138.24,,413.76,,96.95,,344.61,0.94
218,Ecuador,Guayaquil,2012,1139.56,,2356.16,,97.55,,495.80,1.36
218,Ecuador,Quito,2012,651.89,,1660.25,,96.08,,408.67,1.12
818,Egypt,Alexandria,2017,...,,4990.00,,...,,...,...
818,Egypt,Cairo,2017,...,,9596.00,,...,,...,...
818,Egypt,Giza,2017,...,,7940.00,,...,,...,...
231,Ethiopia,Addis Ababa,2005,...,,2887.00,,68.00,,...,...
270,Gambia,Banjul,2009,41.00,13,41.00,,...,,...,...
268,Georgia,Batumi,2017,74.70,,160.80,,98.70,,470.67,1.29
268,Georgia,Kutaisi,2017,...,,142.78,,...,,...,...
268,Georgia,Tbilisi,2017,397.51,,1145.47,,100.00,,347.02,0.95
288,Ghana,Accr,2017,406.06,,1986.58,,80.00,,255.50,0.70
288,Ghana,Kumasi,2017,467.57,,2009.45,,...,,...,...
288,Ghana,Tamale,2017,33.61,,263.08,,...,,...,...
320,Guatemala,Alta Verapaz,2004,320.00,,...,,...,,...,...
320,Guatemala,Guatemala,2009,...,,985.00,,...,,...,...
320,Guatemala,Mixco,2009,...,,488.00,,...,,...,...
320,Guatemala,Quetzaltenango,2012,80.39,,194.00,,95.00,,436.19,1.20
320,Guatemala,Villa Nueva,2009,...,,145.64,,...,,...,...
324,Guinea,Conakry,2008,...,,3000.00,,...,,...,...
328,Guyana,Georgetown,2009,87.21,,...,,95.00,,...,...
340,Honduras,La Ceiba,2013,...,,197.27,,...,,...,...
340,Honduras,San Pedro Sula,2013,...,,719.06,,...,,...,...
340,Honduras,Tegucigalpa,2013,...,,1157.51,,...,,...,...
356,India,Ahmadabad,2011,...,,6352.25,,...,,...,...
356,India,Bangalore,2011,...,,8499.40,,...,,...,...
356,India,Delhi,2011,...,,16314.84,,...,,...,...
356,India,Kolkata (Calcutta),2011,...,,14112.54,,...,,...,...
356,India,Mumbai (Bombay),2011,...,,18414.29,,...,,...,...
360,Indonesia,Bandung,2017,584.00,,2497.94,,...,,...,...
360,Indonesia,Jakarta,2017,2615.05,,10374.63,,...,,...,...
360,Indonesia,Surabaya,2017,866.96,,2874.70,,...,,...,...
364,Iran (Islamic Republic of),Esfahan,2017,476.00,,2059.00,,100.00,,231.18,0.63
364,Iran (Islamic Republic of),Mashhad,2017,896.00,,3115.00,,100.00,,287.64,0.79
364,Iran (Islamic Republic of),Tabriz,2017,...,,1572.00,,100.00,,...,...
364,Iran (Islamic Republic of),Tehran,2017,8800.00,,8805.85,,90.00,,1110.37,3.04
368,Iraq,Baghdad,2017,2906.00,14,7917.00,14,80.60,14,455.41,1.25
376,Israel,Jerusalem,2009,378.88,,...,,...,,...,...
376,Israel,Tel Aviv-Yafo,2009,395.46,,...,,...,,...,...
388,Jamaica,Kingston,2004,381.00,,...,,...,,...,...
388,Jamaica,Montego Bay,2004,...,,...,,70.00,,...,...
388,Jamaica,Portmore,2001,...,,162.00,,...,,...,...
388,Jamaica,Spanish Town,2001,...,,132.00,,...,,...,...
400,Jordan,Amman,2015,1559.00,15,4019.10,,100.00,,387.90,1.06
400,Jordan,Irbid,2015,469.80,15,1775.20,,100.00,,264.65,0.73
400,Jordan,Zarqa,2015,371.20,,1368.80,,100.00,,271.19,0.74
398,Kazakhstan,Almaty,2017,470.60,,1776.70,,100.00,,264.87,0.73
398,Kazakhstan,Astana,2017,377.20,,1001.60,,100.00,,376.60,1.03
404,Kenya,Nairobi,2017,459.88,,4697.30,,...,,...,...
417,Kyrgyzstan,Bishkek,2017,326.02,,980.37,,100.00,,332.55,0.91
422,Lebanon,Beirut,2012,740.00,16,668.00,,100.00,,1107.78,3.04
422,Lebanon,Tripoli,2012,128.00,,370.00,,100.00,,345.95,0.95
426,Lesotho,Maseru,2012,...,,...,,30.00,,...,...
438,Liechtenstein,Schaan,2017,3.38,17,6.04,,100.00,,559.76,1.53
450,Madagascar,Antananarivo,2009,207.44,,...,,88.50,,...,...
450,Madagascar,Fianarantsoa,2007,...,,182.34,,...,,...,...
450,Madagascar,Mahajanga,2007,...,,162.41,,...,,...,...
450,Madagascar,Toamasina,2007,...,,217.22,,...,,...,...
458,Malaysia,Johore Bharu,2017,932.49,,...,,...,,...,...
458,Malaysia,Kuala Lumpur,2017,773.87,,...,,...,,...,...
480,Mauritius,Port Louis,2012,6.74,,148.00,,...,,...,...
492,Monaco,Monaco,2017,30.98,,38.30,,100.00,,808.96,2.22
499,Montenegro,Cetinje,2012,12.00,,16.56,,89.00,,814.30,2.23
499,Montenegro,Podgorica,2012,83.00,,188.34,,80.00,,550.90,1.51
504,Morocco,Casablanca (Dar-El-Beida),2015,1430.62,,...,,100.00,,...,...
504,Morocco,Marrakech,2014,...,,911.99,,93.00,,...,...
504,Morocco,Rabat,2014,...,,577.83,,100.00,,...,...
104,Myanmar,Mandalay,2007,...,,880.00,,80.00,,...,...
104,Myanmar,Yangon,2016,...,,5572.00,,...,,...,...
524,Nepal,Biratnagar,2012,0.05,,201125.00,,...,,...,...
524,Nepal,Kathmandu,2012,0.43,,975453.00,,...,,...,...
524,Nepal,Lalitpur,2012,0.07,,220802.00,,...,,...,...
562,Niger,Niamey,2005,...,,806.32,,60.00,,...,...
562,Niger,Zinder,2007,...,,242.80,,76.60,,...,...
591,Panama,"Distritos de Panamá (Capital), San Miguelito y Arraiján (200",2015,701.62,,1453.50,,91.40,,528.13,1.45
591,Panama,Panama (Distrito capital),2015,347.67,,1098.07,,91.10,,347.55,0.95
591,Panama,San Miguelito,2015,120.08,,355.43,,...,,...,...
600,Paraguay,Asunción,2017,...,,524.19,,82.30,,...,...
600,Paraguay,Capiatá,2017,...,,228.43,,...,,...,...
600,Paraguay,Ciudad del Este,2017,...,,296.60,,...,,...,...
600,Paraguay,Luque,2017,...,,268.25,,...,,...,...
600,Paraguay,San Lorenzo,2017,...,,254.36,,...,,...,...
604,Peru,Callao,2017,...,,910.00,,...,,...,...
604,Peru,Lima,2017,3276.80,,8575.00,,...,,...,...
608,Philippines,Manila,2009,...,,1877.33,,...,,...,...
608,Philippines,Quezon City,2009,...,,2849.79,,...,,...,...
498,Republic of Moldova,Beltsy,2017,346.40,18,151.50,,100.00,,2286.47,6.26
498,Republic of Moldova,Kishinev,2017,1859.80,19,825.90,,100.00,,2251.85,6.17
643,Russian Federation,Moskva,2017,...,,12443.57,,...,,...,...
643,Russian Federation,Novosibirsk,2017,...,,1607.87,,...,,...,...
643,Russian Federation,St. Petersburg,2017,...,,5316.76,,...,,...,...
670,Saint Vincent and the Grenadines,Kingstown,2002,...,,26.88,,100.00,,...,...
882,Samoa,Apia,2015,...,,36.74,,97.80,,...,...
686,Senegal,Dakar,2015,...,,3137.20,20,...,,...,...
688,Serbia,Belgrade,2012,636.00,,1647.00,,...,,...,...
688,Serbia,Nis,2012,69.30,,255.00,,...,,...,...
688,Serbia,Novi Sad,2012,119.60,,333.00,,...,,...,...
710,South Africa,Cape Town,2017,1297.00,,4174.00,21,100.00,22,310.73,0.85
710,South Africa,Port Elizabeth,2017,...,,365.00,,70.00,,...,...
144,Sri Lanka,Colombo,2017,...,,584.06,,...,,...,...
144,Sri Lanka,Dehiwala-Mount Lavinia,2017,...,,191.94,,...,,...,...
144,Sri Lanka,Moratuwa,2017,29.95,,175.10,,...,,...,...
736,Sudan (Former),Khartoum,2009,620.00,23,...,,100.00,,...,...
736,Sudan (Former),Khartoum North,2009,264.00,24,...,,100.00,,...,...
736,Sudan (Former),Omdurman,2009,471.00,25,...,,100.00,,...,...
740,Suriname,Paramaribo,2017,...,,583.40,,...,,...,...
760,Syrian Arab Republic,Damascus,2002,438.00,,3000.00,,...,,...,...
768,Togo,Lomé,2012,...,,...,,70.00,,...,...
780,Trinidad and Tobago,Port of Spain,2000,...,,37.97,,...,,...,...
788,Tunisia,Tunis,1994,...,,1830.63,26,...,,...,...
800,Uganda,Kampala,2017,481.08,,1590.10,,...,,...,...
804,Ukraine,Kiev,2017,1324.90,,2930.00,,...,,...,...
784,United Arab Emirates,Abu Dhabi,2017,1372.14,,...,,...,,...,...
784,United Arab Emirates,Al-Sharjah,2017,726.34,,...,,...,,...,...
784,United Arab Emirates,Dubai,2017,3570.07,,...,,...,,...,...
834,United Republic of Tanzania,Dodoma,2011,215.00,,...,,...,,...,...
834,United Republic of Tanzania,Moshi,2015,44.49,,200.79,,85.00,,260.66,0.71
834,United Republic of Tanzania,Rukwa,2015,80.00,,233.16,,59.20,,579.58,1.59
834,United Republic of Tanzania,Songea,2015,63.04,,210.14,,46.94,,639.11,1.75
860,Uzbekistan,Samarkand,2015,...,,519.20,,...,,...,...
860,Uzbekistan,Tashkent,2015,...,,2393.20,,...,,...,...
862,Venezuela (Bolivarian Republic of),"Area Metropolitana de Caracas, incluye 11 municipios",2015,1324.05,27,4091.94,,...,,...,...
862,Venezuela (Bolivarian Republic of),Caracas,2015,1324.05,,4091.94,,...,,...,...
704,Viet Nam,Haiphong,2017,...,,1997.70,,...,,...,...
704,Viet Nam,Hanoi,2017,...,,1997.70,,...,,...,...
704,Viet Nam,Ho Chi Minh,2017,...,,8444.60,,...,,...,...
887,Yemen,Aden,2013,...,,774.00,,96.00,,...,...
887,Yemen,Sana'a,2013,...,,2280.00,,95.00,,...,...
887,Yemen,Ta'izz,2013,...,,...,,91.00,,...,...
894,Zambia,Lusaka,2005,77.00,28,1300.00,29,18.00,,329.06,0.90
716,Zimbabwe,Bindura,2015,4.20,,46.36,,87.00,,104.13,0.29
716,Zimbabwe,Bulawayo,2015,53.20,,673.13,,97.30,,81.23,0.22
716,Zimbabwe,Chinhoyi,2015,0.87,,138.06,,67.50,,9.34,0.03
716,Zimbabwe,Chitungwiza,2015,36.64,,368.74,,58.90,,168.70,0.46
716,Zimbabwe,Epworth,2015,4.56,,177.76,,5.00,,513.04,1.41
716,Zimbabwe,Gokwe,2015,0.74,,25.53,,...,,...,...
716,Zimbabwe,Gwanda,2015,1.94,,21.47,,100.00,,90.58,0.25
716,Zimbabwe,Gweru,2015,8.68,,167.58,,98.00,,52.85,0.14
716,Zimbabwe,Harare,2015,217.14,,1576.60,,76.00,,181.22,0.50
716,Zimbabwe,Kadoma,2015,0.86,,...,,92.00,,...,...
716,Zimbabwe,Karima,2015,0.27,,29.08,,100.00,,9.17,0.03
